Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
GiveCredit,SCF #22,GiveCredit,GiveCredit,Applications,https://communityfund.stellar.org/dashboard/submissions/recal7H9VYGzL17M0,Awarded,,SCF Legacy Award,$33000.00,$33000.00,291236.43,1/22/2024,Legacy v5.0 Activation Award,Offset carbon emissions with tax-deductible XLM donations- automated by Soroban.,,,,https://givecredits.vercel.app,https://github.com/CollaborativeEconomics/give-credit,,,,,,,,Evan Cooper Hudson,,,https://x.com/c4collabecon,,https://docs.google.com/presentation/d/16Rs3PAyj7fjI-Q6fCk5jVdqLukWxrCcy9ZORQrkQI18/edit?usp=sharing
Peer (by Honeycoin),SCF #22,Peer: Flights on Stellar,Peer (by Honeycoin),Applications,https://communityfund.stellar.org/dashboard/submissions/recUT585587cLfVlX,Awarded,,SCF Legacy Award,$45000.00,$45000.00,377516.8,12/18/2023,Legacy v5.0 Activation Award,"Peer by HoneyCoin is a global, non-custodial financial super app made for the general public and primarily built on Stellar.",,,,https://honeycoin.app/peer,,,,,,,,,David Nandwa,,,https://twitter.com/honeycoinapp,,
Spatium Wallet,SCF #22,Stellar-Spatium: New TRX Types,Spatium Wallet,Applications,https://communityfund.stellar.org/dashboard/submissions/recZ46kabInkWZT9Q,Awarded,,SCF Legacy Award,$35200.00,$35200.00,291390.72,1/3/2024,Legacy v5.0 Community Award,Expanding Stellar's unique transaction types in Spatium Wallet Builder to meet various client companies' needs.,,,,https://spatium.net/,,,,,,,,,Andrei Rabenok,,https://www.linkedin.com/company/spatium-capital/,https://twitter.com/spatium_news,,
Coins.ph: Stellar Remittances,SCF #22,Coins.ph: Stellar Remittances,Coins.ph: Stellar Remittances,Applications,https://communityfund.stellar.org/dashboard/submissions/recnpsdfOyqPQpkUK,Awarded,,SCF Legacy Award,$50000.00,$50000.00,402738.62,1/11/2024,Legacy v5.0 Activation Award,Coins.ph is a regulated e-wallet & crypto exchange offering cross-border payments using Stellar-native stablecoins for low fees.,,,,https://coins.ph/,,,,,,,,,Jorge Antonio Coscolluela,,https://www.linkedin.com/company/coins-ph/,https://twitter.com/coinsph,https://discord.gg/coinsph,
Ziriz,SCF #22,Ziriz,Ziriz,Applications,https://communityfund.stellar.org/dashboard/submissions/recjUkhIRe4D2YrhY,Awarded,,SCF Legacy Award,$48000.00,$48000.00,418045.63,1/10/2024,Legacy v5.0 Activation Award,Sustainable Rewards for Talent and Taste Makers <em>(Building on SEP-0039 to Implement Editions of Non-Transferable NFTs)</em>,,,,https://linksta.cc/@Ziriz,,,,,,,,,Jordan James Gray,,,https://twitter.com/Ziriz_App,,
Hana Wallet,SCF #22,Hana Wallet,Hana Wallet,Applications,https://communityfund.stellar.org/dashboard/submissions/recQxCaMDVhJL85AO,Awarded,,SCF Legacy Award,$50000.00,$50000.00,400865.9,12/15/2023,Legacy v5.0 Activation Award,"Hana Wallet: Simple multi-chain crypto on-the-go, Like MetaMask, Polkadot.js, ICONex, Keplr, all in one, for everybody<!-- notionvc: a1aaf0b6-41bf-4f12-967b-2e85612b6c6e -->",,,,https://hanawallet.io/,https://github.com/Hana-Technology,,,,,,,,Mark Jones,,,https://twitter.com/hanawallet,,
Meru,SCF #22,On-ramp thru US bank account,Meru,Applications,https://communityfund.stellar.org/dashboard/submissions/recdQqHy4AR9ZBWyO,Awarded,,SCF Legacy Award,$76840.00,$76840.00,636092.71,1/3/2024,Legacy v5.0 Community Award,Enabling non-US residents freelancers from Latam to have a US bank account in their name that settles in USDC on Stellar ,,,,https://getmeru.com,,,,,,,,,Amilcar Erazo,,https://www.linkedin.com/company/88967421/admin/feed/posts/,@getmeru,https://discord.gg/AJwxuhGY,
triiyo,SCF #22,triiyo,triiyo,Applications,https://communityfund.stellar.org/dashboard/submissions/reciecXOCIKXi5Urb,Awarded,,SCF Legacy Award,$50303.00,$50303.00,438103.11,1/10/2024,Legacy v5.0 Community Award,triiyo makes it easy for foreign employees to pay for well-being services back home,,,,https://app-triiyostellar-ui-payasyougo-ae.azurewebsites.net/,Not available to the public (Private Repository on Azure DevOps),,,,,,,,Nicolas Elvino,,https://au.linkedin.com/company/triiyo,https://twitter.com/hellotriiyo?lang=en,,
Borderless,SCF #22,Borderless Payments,Borderless,Applications,https://communityfund.stellar.org/dashboard/submissions/recWsJsebcTT9zF3Q,Awarded,,SCF Legacy Award,$82500.00,$82500.00,682947.01,1/3/2024,Legacy v5.0 Community Award,Embedded remittances for forward-thinking Financial Institutions&nbsp;,,,,www.borderlesspayments.xyz,https://github.com/elsa-care,,,,,,,,Alvaro Martinez Esteban,,,,,
Lobstr,SCF #22,LOBSTR: new Soroban features,Lobstr,Applications,https://communityfund.stellar.org/dashboard/submissions/recLPGmYh7sNVjRz7,Awarded,,SCF Legacy Award,$88000.00,$88000.00,728476.82,1/3/2024,Legacy v5.0 Community Award,Ultra Stellar is looking to upgrade LOBSTR for the Soroban mainnet release by introducing new features and security updates.,,,,https://lobstr.co/,https://github.com/Lobstrco,,,,,,,,"Dima, Gleb Pitsevich",,,https://twitter.com/ultrastellar,,
