Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
CTX.com,SCF #19,CTX.com Spend,CTX.com,Applications,https://communityfund.stellar.org/dashboard/submissions/recs3a3kKPgwjWT1Y,Awarded,,Legacy Award v4.0 (90%),$88200.00,$88200.00,779730.14,10/6/2023,Legacy v4.0 Award,Spend your XLM and USDC at thousands of physical and online stores.,"This project will enable Stellar USDC and XLM to be spent at 100,000+ locations and hundreds of online stores. CTX.com CTX is a crypto payments processor, we have processed over $800k in payments and offer a web point-of-sale, merchant API, rates engine, hardware devices, nfc payment cards and more. This project will build on our experience, tech and infrastructure to create a new service for users to spend USDC & XLM across the US with plans to expand internationally following release.

Gift Card System The main part of this project is a comprehensive gift card procurement and delivery system. It will enable anyone to shop with Stellar in over 100,000 locations across the US as well as online at 100+ major retailers. For the in-store version, a user will be able to visit and make an order at their local Subway, Walgreens, Olive garden, GameStop and many other participating merchants. Once they are ready to pay they enter their total into the app, pay using XLM or USDC and receive a gift card for their exact amount with a barcode to display to the merchant to complete their purchase. Alongside the in-store solution will be one for online stores, allowing users to purchase gift cards from large online merchants. Additionally users will receive cashback in the form of a USDC credit to their account that they can withdraw or use towards a future purchase. This is an ambitious and high-value project with multiple moving parts including gift card procurement, user authentication, payment processing and cash flow handling for settlement, provided by user-friendly apps for all major platforms. We are an efficient agile team and through leveraging our existing systems we will be able to deliver a v1.0 at end of this cycle.

Adding Stellar support to the existing CTX.com payment processing stack We'll be adding multiple load balanced core nodes or horizon + captive core instances to our infrastructure to enable real-time transaction processing as well as extending our back-end systems accordingly. We'll also be updating our front-ends and related platform infrastructure to enable merchants to accept XLM & USDC.

Adding USDC & XLM to our rates engine To provide the conversion rates for 168 local currencies we source data from 14 different providers like Binance & Kraken. We can then calculate any route, even through numerous hops (e.g. XLM>USD>HKD) to create a composite after removing outliers to provide accurate current rates. You can view this API here: http://rates.ctx.com/ This API has served hundreds of millions of queries since 2019 with 99.99% up-time. This service is open to public use albeit rate limited and without guarantee. We're always happy to empower other developers and their applications to leverage real-time price data.",,,https://ctx.com,,https://www.youtube.com/watch?v=MgQQaX2M-o,,,,,,,Ashley James Francis,,,,,
Stellar-MetaMask,SCF #19,Stellar On Metamask,Stellar-MetaMask,Applications,https://communityfund.stellar.org/dashboard/submissions/reccBR6CyNvbjqL2E,Awarded,,Legacy Award v4.0 (90%),$71000.00,$71000.00,674028.95,10/11/2023,Legacy v4.0 Award,"We Will put Stellar on Metamask, to grow stellar ecosystem. Through the use of a metamask snap.","We will build a complete Stellar-Lumens wallet that seamlessly integrates into Metamask Browser Extension. This means that all 30 Million MetaMask users can be easily onboarded into the stellar-lumens/soroban ecosystem. We believe this will lead to explosive growth of the web3 leg of the Stellar ecosystem, due to the sheer popularity of the Metamask Extension and familiar developer experience. This allows new Dapps to see Stellar-Lumens as a more viable platform to build with, and allows existing Dapps to reach lots of new users.

A snap is like a MetaMask plug-in. It’s a piece of code that runs inside the metamask extension itself. Importantly, snaps do not require a lengthy installation process like most plugins, and are simply installed automatically, after being requested by a website, and a user gives consent. Once installed, the wallet will never have to be reinstalled, and all keys and accounts are recoverable through the same process as recovering the metamask wallet as a whole.

In order to create a better developer experience, we will also provide a wallet SDK. This will allow developers to integrate MetaMask into their stellar Dapp with as little headache as possible. Meaning that existing Soroban and stellar apps can start accommodating metamask users sooner.

When a user goes to a Stellar Dapp, they will have the option to connect with metamask. If they choose this option, MetaMask will automatically install stellar into their wallet, and from there the dapp will be able to interact with MetaMask just like any other stellar wallet. Importantly, this means new users won't have to download and install a Stellar wallet to use a Dapp, as long as they have MetaMask. Metamask also provides these users with a familiar interface which cuts down on confusion, and ultimately leads to greater adoption of stellar in web3.

Web3 Developers often have a difficult time choosing a platform when developing a new Dapp. By putting Stellar Lumens on MetaMask, developers don’t have to worry about a given user losing interest while getting a stellar wallet set up. On top of this, many developers are already familiar with developing for metamask, which cuts down on the learning curve when onboarding new developers into the Stellar/Soroban ecosystem.

Keys are generated on the fly using entropy requested from the MetaMask wallet. This results in users having complete control over their keys (a non-custodial wallet). And because this entropy is programmatically derived from a user's private Ethereum keys, recovering a MetaMask wallet will also recover the user's Stellar wallet.

We take security very seriously, and all code running inside a user's MetaMask will be code audited and executed in a restricted Secure JavaScript Execution Environment. All storage in the wallet is encrypted, and unsigned transactions are never sent over the wire.",,,https://stellardemo.netlify.app/,https://github.com/paulfears/StellarSnap,https://www.youtube.com/watch?v=-VenhahQ5zo,,,,,,,Paul Fears,,,,https://discord.gg/R2wd9ZJ89X,
Syklo,SCF #19,Syklo WooCommerce integration,Syklo,Applications,https://communityfund.stellar.org/dashboard/submissions/recnQwmWOJN7EZPmj,Awarded,,Legacy Award v4.0 (90%),$25100.00,$25100.00,221407.83,10/5/2023,Legacy v4.0 Award,We are building the bridges and roads for mass adoption of self-custodial USDC in LATAM. ,"By installing the Syklo Pay WooCommerce plugin, businesses would allow their customers to pay with any off-chain local currency (ARS, BRL, COP, VES, etc…) and receive USDC on Stellar. 

Monetary protocols from many countries (e.g. Argentina and Venezuela) are not working. These countries are organically transitioning to blockchain-based dollars. Currently, USDT on Tron is very popular. USDC on Polygon would be better. However, USDC on Stellar would be the best solution, especially for businesses that receive small payments and need USD convertibility to pay providers. 

Online businesses would benefit from being able to charge local currency anywhere, receive instead USDC on Stellar at low fees, and later use it to pay providers. 43% of sites use WordPress, some 35 million sites. WooCommerce’s market share in ecommerce platforms is 25% and over 3.5 million websites use WooCommerce checkout. Syklo Pay would help them be internationally available. The difference with other crypto plugins is that with Syklo, the business’ customers can obtain USDC via P2P with many local currencies and payment methods. 

Users would need to install the Syklo Payment Gateway for WooCommerce, signup/signin their Syklo account, and click on Syklo Pay in WooCommerce → Settings → Payments → Syklo → Manage. In Syklo, create an API Key and copy it. In WooCommerce, paste the API key. In WooCommerce, copy the endpoint URL. In Syklo, click add an endpoint, paste the endpoint URL. In Syklo, click show shared secret and copy the shared secret. In WooCommerce, paste the shared secret. Business’ customers would then be able to pay with Stellar USDC. 

Once the plugin is configured and users click on pay with Syklo, they will be redirected to pay.syklo.io and shown a QR code with the business’ USDC address. The customer would then open the Syklo mobile app, with a few clicks purchase Stellar USDC with their local currency and send to the payment QR. The site will detect when the payment is sent and will return to the business checkout so the order is processed. 

The business will be able to see WooCommerce transactions and details in a dashboard and refund them if needed. Users hold assets on individual Stellar wallets that would be able to pay in WooCommerce websites, send assets to other users, exchange off-chain assets with the help of a temporary on-chain multisig escrow, create escrow (create multisig wallet, setup signers [buyer, seller, jury], establish trustline for USDC, transfer funds from seller to the escrow), release escrow (collect the required signatures to release the funds, submit the transaction to the network), and mediation (if there is a disagreement during the transaction flow, users can raise a dispute regarding the transaction where a jury (currently a Syklo support member) will review the case and sign the transaction in favor of a winner). 

All transactions are currently sponsored by Syklo. The transactions use channels to ensure reliability and prevent sequence number collisions. Also, transactions use sponsorship future reserves to allow users to submit transactions to the network without needing a minimum XLM reserve. Multisig wallets are ephemeral; once the escrow is released, the escrow account is merged into the creator account. We currently use the Stellar blockchain in our Android app due to its efficient design and reliability. The production address is: GBMUZ7DCFWJ47CI2FGFR4NIVSZNPPZENJJWNG7THSRWQWFZVNUNZJTR4.",,,https://syklo.io,,https://drive.google.com/file/d/1zd4H2g7t1n2ymoE5g_x6uMYXA6FTiBBd/view?usp=sharing,,,,,,,Raul Ricardo Sanchez,,,https://twitter.com/syklo_app,,
Alfred,SCF #19,alfred ,Alfred,Applications,https://communityfund.stellar.org/dashboard/submissions/recJEHkfUrrbLVcg8,Awarded,,Legacy Award v4.0 (90%),$120000.00,$120000.00,978568.47,8/31/2023,Legacy v4.0 Award,Powering Latin America's Digital and Cash Economy ,"Core Product is a Checkout widget that connects you to the two following services:

Bank Ramps: This product enables near instant fiat to crypto on/off ramping through local bank accounts across key geographies in Latin America. What Problem it Solves, How it solves, and audience: This product provides a solution to the fragmentation of access from crypto to bank accounts across important geographies in Latin America. We solve this by providing a simple widget powered by SEP 24 which gives users direct connection from on chain stellar USDC to their local bank accounts. The audience this is catered to is folks inside of the Latin America banking system who want to interact with USDC and DeFi ecosystems from their local accounts. How it uses Stellar: This widget is powered by SEP 24.

Cash Ramps: This product enables cash to crypto on/off ramping catered towards the underserved/underbanked in the Latin American Region. With a total of 100,000 physical locations via retail stores and ATM's, alfred is becoming a true alternative to MoneyGram Access. What Problem it Solves, How it solves, and audience: Over 70% of Latin America is unbanked or underbanked meaning that main use cases that are very attractive for the region such as crypto powered remittances and borderless USD accounts are unaccessible for the folks who need it most. Our cash ramps product caters to this demographic enabling them to access crypto and Stellar USDC products without the need of being banked. How it uses Stellar: This widget is powered by SEP 24. With the support of the SCF we will be able to develop and launch these products in Mexico, Guatemala, Dominican Republic.",,,alfredpay.io,,https://vimeo.com/854697337?share=copy,,,,,,,Diego Yanez,,https://www.linkedin.com/company/alfredpay/,https://x.com/alfredlatam/,,
Litemint,SCF #19,Litemint,Litemint,Applications,https://communityfund.stellar.org/dashboard/submissions/recpYqqIa55PTnKF3,Awarded,,Legacy Award v4.0 (90%),$103110.90,$103110.90,916211.33,10/5/2023,Legacy v4.0 Award,"Gives creators the power to distribute their work directly to their fans, no middleman allowed!","NFT Royalties

Royalties play a pivotal role in digital economies. The industry has encountered numerous obstacles in achieving decentralized payment enforcements (as we discussed in Meridian 2022, see video excerpt here). Presently, most marketplaces retain significant control over enforcing royalty payments (see this Tweet from OpenSea), which poses challenges to creators and businesses. Royalty smart contracts adopting a restrictive approach by controlling trade execution can also have adverse effects, significantly narrowing the sales funnel for creators. While Litemint is working on incorporating support for such contracts, we recognize that it is just one aspect of the solution. These contracts are decentralized in principle, however they might not offer the openness required for general use cases. To address these challenges, we have identified a unique combination of Soroban smart contracts, a dedicated Oracle, and Stellar classic primitives (pre-auth transactions). These present an exceptional opportunity to implement the first comprehensive solution for decentralized NFT royalty payment enforcements. In this implementation, smart contracts are not used to control trade execution flow but rather to offer creators the assurance that they can revoke ownership if specific conditions are met (such as missed royalty payments). Concurrently, current owners are guaranteed that their ownership remains irrevocable as long as those conditions are not met. We are also working on making these features as accessible as possible to creators (including mobile and desktop), please check our video or the screenshots attached.

Advanced Auctions

We have been providing decentralized, no escrow, time-limited auctions, with full SDEX execution (aka Live Auctions) on our platform since September 2021. Check this blog for technical details. These live auctions account for 35% of NFT sales on Litemint. Yet there are unavoidable limits (e.g. preventing auction sniping or implementing advanced models like second price auctions…). With the advent of Soroban smart contracts, we have the opportunity to extend our auction system for publishers. Besides our in-house solution which should cover common use cases, we will be incorporating support for third-party contracts, like for royalties.

Real-time and Historical Price Indexer

One of the most expected features on Litemint is the ability to track, filter and search assets by interest (bids/offers across all markets), collections, creators and provide some essential charting tools. We currently run a price indexer to provide cross-market history for sales, however it is currently not fit for real-time data queries (several hours latency over blockchain activity). As part of V2, our existing search engine has undergone refactoring using Azure Search. We intend to utilize this infrastructure to support the historical price indexer. This work is also a needed component for our Oracle-based solution for royalties.",,,https://litemint.com,https://github.com/litemint,https://youtu.be/8mFbqhuDKrc,,,,,,,Frederic James Bernard Rezeau,,https://www.linkedin.com/company/litemint,https://twitter.com/LitemintHQ,https://litemint.gg,
Stellarchain.io,SCF #19,Stellarchain.io,Stellarchain.io,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/receYuwM1ucRK5MB2,Awarded,,Legacy Award v4.0 (90%),$140635.00,$140635.00,1202589.22,9/29/2023,Legacy v4.0 Award,Stellar Explorer - Soroban and analytics for the stellar ecosystem,"Building upon the existing foundation of our blockchain explorer, we're excited to present the next phase of StellarChain Explorer's evolution. This extension is geared towards bolstering its efficiency, practicality, and comprehensiveness. Users will be able to access the ledger history with improved speed and convenience, extending the overall user experience. The search functionality is set to be advanced, allowing for precise data retrieval based on diverse parameters. Keeping up with our commitment to real-time information delivery, we will further refine the system's ability to provide live updates of the Stellar network activities. An amplified focus on the transaction details will provide a holistic view of each transaction, enhancing understanding and transparency. Enhancements are also planned to ease the transition between Stellar's Testnet and Mainnet, promoting a fluid, user-friendly exploration experience across different environments. As part of our efforts to provide comprehensive historical insights, we will ensure substantial historical data retention, allowing efficient tracking of the ledger's evolution over time. Lastly, we will amplify the platform's visualisation and analytical tools, promoting an intuitive understanding of complex ledger data. Overall, this new phase will enhance user interaction with blockchain data, promising a seamless and enriched experience while maintaining the familiarity of the existing system.

To build the StellarChain explorer, the integration process involves: Retrieving data from Stellar RPC using available APIs and endpoints. Designing a Database Cluster schema for storing the blockchain data. Implementing data flow processes for polling transactions and running process jobs. Utilizing a tech stack including PHP, JavaScript, Laravel, Vue.js, and RabbitMQ. Setting up an initial development stage on DigitalOcean with CPU-optimized machines. Optimizing performance, scaling infrastructure, and enhancing data processing. Creating a REST API and user interface for seamless interaction and exploration. Testing, debugging, and ensuring a stable system with monitoring and maintenance. Scaling up infrastructure, importing complete blockchain data, and deploying a Stellar node. Documenting technical details, providing user guides, and engaging with the Stellar community for continuous improvement.",,,https://stellarchain.io,,https://youtu.be/WTRK21GKkAc,,,,,,,"Fedot Sereoja, Florin Mangu",,,,,
Constellation Protocol,SCF #19,Unlock - Stellar Index,Constellation Protocol,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recaIeMYytTyQmjRu,Awarded,,Legacy Award v4.0 (90%),$110000.00,$110000.00,952089.72,10/25/2023,Legacy v4.0 Award,"Gives users the ability to create indices via smart contract, providing ownership of multiple underlying assets transparently.","Unlock is an index protocol that would allow the Stellar community to create and manage indices that provide exposure to various underlying assets. Unlock would achieve this with public-good smart contracts that provide the indexing functionality with meaningful utility in its own right, and as a component of more advanced DeFi products. The index protocol would enable a user to define two or more underlying assets, such as XLM and USDC, assign them a share of the overall “index” being tokenized, and create the resulting index token. Critically, Unlock’s approach would allow for the newly created tokenized asset to capture the proportional yield of underlying assets, unlocking diversification and yield-generating strategies, as well as enabling the move of Real World Assets on-chain.

Problem: While exposure to crypto, NFTs, and other on-chain assets provide opportunities to invest in the future of the internet, these assets lack many of the aspects of traditional financial instruments that enhance outcomes for market participants. Specifically, Web3 assets are inherently volatile and subject to meaningful price fluctuations and do not feature a straightforward way to diversify idiosyncratic risk. With traditional financial assets, intermediaries or “trusted” third parties provide indexed solutions that are responsible for purchasing the underlying assets and constructing the index to diversify risk. An indexed solution is particularly attractive for on-chain assets not only due to the diversification it can provide, but critically that it performs the indexing via smart contract, in a trustless manner.

How it works: Unlock will build upon and extend the Stellar Asset Contract (SAC), adding the concept of an index fund token that holds other tokens as underlying components. Index fund tokens (IFTs) have the property that they can only be minted by transferring each of the underlying assets in specific amounts to the IFT contract. The IFT contract also guarantees that fund tokens can always be redeemed (burned) in exchange for each of its components. This way, IFT holders can rely on the fund token’s net asset value (NAV = holdings of underlying components * price) being realizable. The Stellar Asset Contract can also be used to wrap native assets issued on the Stellar blockchain. This means the entire universe of transferable assets on Stellar today is ready to be used as components inside of fund tokens. Classic assets on Stellar come with powerful features that help both issuers and holders of assets have control over which counterparties they trust. IFTs can be configured to inherit the authorizations attached to components. For example, an IFT could respect the KYC/AML policies of each asset it holds. The attached diagram (Figure 1) shows how Unlock’s Token Factory smart contracts let users deploy a new index fund token by specifying an arbitrary-length array of SAC-wrapped classic assets and Soroban tokens as components.",,,no-link.com/yet,,https://youtu.be/XbZKhkN_bIk,,,,,,,"Edward Kim, Ignacio Garcia Leon",,,,,
Goldsky,SCF #19,Goldsky,Goldsky,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recnHUE6Wv5qJbloO,Awarded,,Legacy Award v4.0 (90%),$128000.00,$128000.00,1140221.36,10/6/2023,Legacy v4.0 Award,"Offering builders access to real-time, high-performance Soroban data indexing and to a CC0-licensed public good dataset","Goldsky Mirror (real-time data replication)

Problem: Accessing blockchain data is complex and time-consuming, requiring builders to run a node, write complex code, and/or set up data engineering pipelines. This process diverts valuable time from app dev.

Solution: Goldsky Mirror is a real-time data replication system that allows builders to pipe decoded blockchain data to where their app is: where to take data from, how to process it, and where to persist results.

Benefits: Compared to other approaches to indexing blockchain data, Goldsky Mirror offers a few specific and differentiated benefits:

Self-hosted: Results are persisted in a database / as flat files rather than being served only via a remote API. This allows for seamless integration with other app/user data, simplifying builders' data stack.

Self-healing: Quality checks, fixes, and improvements to data are applied automatically w/ upserts & deletes, allowing builders to focus on using the database vs. maintaining it.

Scalable: Builders can index data from multiple sources (and push to multiple sinks) with infinite horizontal scaling. This allows for complete historical backfills in record speed and seamless multi-chain apps.

Simple: Mirror pipelines can be set up through a 5-step interactive CLI, or in JSON for more flexibility. This ease of use makes building with Mirror incredibly easy yet scalable from hackathons to production use cases with millions of users.

indexed.xyz (open public dataset)

Problem: Web3 analytics often require a costly cloud datastore, limiting large-scale web3 data accessibility to pro users and institutions.

Solution: indexed.xyz is a public, open, and CC0-licensed blockchain dataset that allows anyone to freely download, copy, and use the data without any restrictions.

Benefits: For analytics use cases where chain-level data aggregation and transformation is useful, existing solutions can be limiting and indexed.xyz offers several differentiated benefits:

Open and unrestricted access: Unlike many cloud-based data solutions that impose limitations and charge for access, indexed.xyz is completely unrestricted - not even requiring an account. This allows developers, analysts, and app-builders to freely download, copy, and use the data with greater control and flexibility.

User-friendly data format: indexed.xyz uses the widely adopted .parquet format, which is natively compressed, queryable, and compatible with popular data tooling and platforms. This user-friendly format streamlines the data analysis process and makes it easier for developers to work with the data and increase developer velocity.

Local-first: Our local-first approach enables users to leverage their existing storage and compute resources, bypassing the need for a sustained internet connection and the costs associated with cloud-based storage and compute (eg. BigQuery compute fees). This allows users to work with data more efficiently and at a lower cost, especially for macro analysis.",,,https://goldsky.com,https://github.com/indexed-xyz/docs,https://share.goldsky.com/v/myW4bJPY1xdhZBMxRAUqKDB7h,,,,,,,Hemanth Soni,,,https://twitter.com/goldskyio,,
Mercury,SCF #19,Mercury,Mercury,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recwq69g0TVuylMjO,Awarded,,Legacy Award v4.0 (90%),$72000.00,$72000.00,617480.19,9/29/2023,Legacy v4.0 Award,"Mercury is the fastest and cheapest data indexer on Futurenet, and comes with tooling.",,,,,https://github.com/xycloo/rs-ingest,,,,,,,,"Federico Carlos De Ponti, Tommaso De Ponti",,,https://twitter.com/xyclooLabs,https://discord.gg/caqz3MeXCv,
NOWNodes,SCF #19,NOWNodes,NOWNodes,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recd8vP3BvCKs2zqY,Awarded,,Legacy Award v4.0 (90%),$28090.00,$28090.00,249598.73,10/5/2023,Legacy v4.0 Award,Offers access to extensive data on Soroban to assist developers in tracking blockchain events and launching dApps and contracts,"Our Soroban project is essentially a few enterprise-grade tools for developers which will enable the community to build more, build easier, build faster and promote mass adoption. We will be integrating Soroban into the thriving NOWNodes ecosystem of blockchain services, which entails the following: shared access to Futurenet RPC endpoints via NOWNodes API; dedicated access to Futurenet RPC endpoints by request; shared and dedicated access to Soroban testnet and mainnet endpoints once they launch; a public block explorer for the Soroban network, available on our website free for everyone in the world.

What this means for developers: you won’t have to host your own nodes and pay for maintenance and other expenses; you’ll have a ready-made and easy-to-use API to access key blockchain data, simplifying dApp development; the community will have a user-friendly explorer with all network data at their fingertips.

We will be using official Stellar and Soroban tools to develop these services: the Soroban RPC Server and Soroban CLI.",,,https://nownodes.io,,https://www.youtube.com/watch?v=O__9hU_Ux6E,,,,,,,Ian Vlasiuk,,https://www.linkedin.com/company/nownodesio/ ,https://twitter.com/NOWNodes,,
