Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Azores Metaverse,SCF #13,BES Metaverse,Azores Metaverse,Applications,https://communityfund.stellar.org/dashboard/submissions/recfi8EB1253ZsHjO,Awarded,,Legacy Award v4.0 (10%),$7500.00,$7500.00,68138.45,3/31/2023,Legacy v4.0 Award,"Decentralized virtual worlds on Stellar - enabling users to play, create and interact with others in a blockchain-based metaverse.","BES Metaverse is planning to launch a suite of new products using Stellar Soroban smart contracts with the support of the Stellar Community Fund. These products include an NFT marketplace, swap, and staking mechanism. Additionally, BES Metaverse is building a decentralized web platform that enables users to mint, trade, and stake their NFTs on the Stellar blockchain. We will also develop a user-friendly interface for seamless navigation of the virtual worlds and be dedicated to creating a system for designing and customizing land in the Metaverse to enhance user experience and personalization.",,,besmetaverse.com,,https://youtu.be/_9assKnSe8c,,,,,,,Stan Pilev,,,https://twitter.com/BESmetaverse,,
The Blue Marble,SCF #13,The Blue Marble - Web3 Made Easy,The Blue Marble,Applications,https://communityfund.stellar.org/dashboard/submissions/recwogHqVCwITwGrG,Awarded,,Legacy Award v4.0 (90%),$148000.00,$148000.00,1421127.07,4/6/2023,Legacy v4.0 Award,"The Blue Marble removes all friction from Web3, allowing brands to launch customer focused NFT campaigns with a few clicks.","The Blue Marble was part of the Stellar community supporting the development of Turrets, the Layer 2 smart contract technology that was the precursor to Soroban Layer 1. Just prior to our brand launch, Soroban was announced as a replacement for Turrets - so we made the decision to get to market using Turrets and continue with the launch with a view to migrate to Soroban as soon as feasible. Our smart contracts control royalty payments and allow the trading of NFTs on Stellar without requiring use of Stroops as the NFT unit. The royalty system enables NFT creators and businesses to provide support for social and environmental causes when they sell or trade assets.

Our current Turret smart contracts:
- Have full authorisation over the NFT assets we mint once the Primary Sale is closed
- They ensure only integer asset transactions take place and avoid the need to use Stroops as the base unit, permitting easier trading
- They control the buy and sell operations which optionally include royalties: 
  1. to the creator of the NFT, as a percentage of all secondary sales and 
  2. to causes the creator would like to support such as charities and nonprofits who receive an ongoing percentage of secondary sales

Our aim with Soroban is:
- Develop Soroban based contracts to replace our existing Turret contracts as soon as Soroban goes live
- Add to our existing smart contract operations so that the new Soroban contracts are fully complete and support all relevant activities required to manage NFT assets
- Work with the Stellar community to ensure the new contracts are as cross compatible and easy to adopt by other NFT platforms and wallets on the Stellar ecosystem
- Generate content and materials during our process of development in order to provide market knowledge and insights into the use and execution of Soroban based platforms, to act as a case study for The Stellar Development Foundation",,,https://thebluemarble.io,,https://youtu.be/ssEO5MNp1OM,,,,,,,Steve Walker,,https://www.linkedin.com/company/5288550,https://twitter.com/thebluemarbleio,,
Spatium Wallet,SCF #13,Integration of Stellar blockchain into Spatium Wallet Builder solution,Spatium Wallet,Applications,https://communityfund.stellar.org/dashboard/submissions/recKUYCRQLT6Vq3Pj,Awarded,,Legacy Award v4.0 (90%),$148000.00,$148000.00,1418885.88,4/5/2023,Legacy v4.0 Award,Spatium offers an open-source Web3 Wallet Builder for businesses which allows to break barriers for mass adoption,"Spatium is a solution for businesses that would like to provide their users with the gateway to WEB3. So any business can develop a non-custodial wallet, pack it with the best features industry has: multi-party computation instead of the private key, biometric backup instead of seed phrase, blockchain agnostic signature, DApp browser and much more. Many traditional businesses coming to Web3 and crypto native projects want to step in with their own wallets to give end-users not only unique functionality they have, but also to guide them through Web3. Unfortunately, at a certain point they understand that building and developing a non-custodial wallet is not a simple task - it might take from three months to never. Even those who managed to overcome the initial release face countless support issues. That is where Wallet Builder steps ahead. Wallet Builder is a platform where businesses can create their own non-custodial wallet based on native and custom modules. Such approach allows to significantly decrease the amount of resources required by the business to design, develop, launch and support crypto wallets, and introduce new features. We are distributing our crypto wallet via B2B2C and our potential clients are both traditional and crypto-native businesses. We already have got partners with over 100k users onboarded and we have rather ambitious plans for attracting new clients. Our team is going to implement Stellar blockchain in our Wallet Builder. So the increase in demand for our solution will help the inclusion of the Stellar chain into the ecosystem of our current and future customers and subsequently their users will be able to use the Stellar blockchain advantages. Our solution implies to have flexible integration options: Box Solution (customized mobile App) or Wallet SDK. Thus, our Wallet Builder with integrated Stellar blockchain functionality can be used both for integrating into existing clients’ application or as a stand-alone application.",,,https://spatium.net/,,https://www.loom.com/share/937ca108618f456d80ae0085ddb9e062,,,,,,,Andrei Rabenok,,https://www.linkedin.com/company/spatium-capital/,https://twitter.com/spatium_news,,
Qolaq,SCF #13,Qolaq Mutual Aid Platform (MAP),Qolaq,Applications,https://communityfund.stellar.org/dashboard/submissions/rec5E23kDxA8mUFZP,Awarded,,Legacy Award v4.0 (90%),$150000.00,$150000.00,1442010.41,4/4/2023,Legacy v4.0 Award,Developing the first Web3 mutual aid platform to drive financial inclusion for people who do not have traditional insurance cover.,"Qolaq plans to develop the following products/services with the support of SCF: 1) smart contract to launch MAP's initial Simple Critical Illness and Life Programs, 2) MAP's Disability/Health Programs, and 3) building Qolaq's global community for financial inclusion. Qolaq's MAP is a Web3 solution to the restrictive practices and inefficiencies of global health and life insurance, providing the underserved with mutual aid programs that enable Members to support each other in times of need. Qolaq is not an insurance company, so does not conduct underwriting, collect premiums or maintain reserves to pay claims. Qolaq provides programs and the MAP for its Members. Qolaq receives contributions from Members to operate the MAP. Qolaq's MAP follows proven, successful mutual aid models of the past and is developing a Web3 platform with Soroban to facilitate immediate claim settlement and permit Members to collectively decide on claims with full transparency, removing conflicts of interest. Full Member privacy can be achieved while delivering fair and impartial participation. The costs for administering MAP will be transparent and can be recorded on chain. MAP's decentralized approach also removes significant operating costs/commissions of typical insurers. MAP programs are designed for the underserved seeking coverage but either do not have access to traditional insurers, have been rejected due to underwriting requirements, do not understand complex insurance policy terms or cannot afford monthly premiums. Leveraging Soroban will enable automated remittance of claims upon Members' approval. Qolaq also seeks to access the existing financial rails through Stellar/Soroban to provide fiat on/off ramps for payments. Based on Stellar's commitment to financial inclusion, such collaboration will support Qolaq to reach beyond its initial markets to provide our decentralized MAP internationally.",,,qolaq.org,,https://youtu.be/n9R7IKu0RzI,,,,,,,"Barry Lee, Doory",,https://linkfly.to/qolaqfoundation,@qolaq_org,,
Horizon-as-a-Service,SCF #13,Horizon-as-a-Service,Horizon-as-a-Service,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recYP22jRMBNgKhaU,Awarded,,Legacy Award v4.0 (90%),$30000.00,$30000.00,288066.29,4/6/2023,Legacy v4.0 Award,Providing a Web3 development platform for teams building on Soroban and Stellar without the hassle of infrastructure management.,"Horizon-as-a-Service is the beginning. We are looking to build a development platform for Stellar like we see with Alchemy and Infura. Our initial focus is on providing production-ready infrastructure API endpoints for Horizon API servers and Soroban RPC nodes, as well as managed instances. We want to make sure we provide a platform that is reliable and developer-friendly. One problem that we are looking to solve is that teams may not want to run their own infrastructure, so we are available to run and manage that for them. Another problem is that other solutions may be cost prohibitive, so we want to provide an affordable option that is more accessible.",,,https://www.withobsrvr.com,https://github.com/withObsrvr/nomad-pack-web3-registry,https://www.loom.com/share/78adf7596f034e4a911d790d59f26cc9,,,,,,,Tillman Mosley,,,https://twitter.com/withobsrvr,,
Chaincerts,SCF #13,Chaincerts,Chaincerts,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recSJaZLVz2YEGn0b,Awarded,,Legacy Award v4.0 (90%),$75000.00,$75000.00,719030.01,4/5/2023,Legacy v4.0 Award,kommit is creating a platform to unlock the future of certifications with trusted Soulbound Tokens managed by smart contracts,"Chaincerts is a cutting-edge platform that revolutionizes the way certifications are issued, verified, and showcased. Our platform issues certifications as secure, non-transferable, and verifiable Soulbound Tokens (SBTs) on the Stellar network. These SBTs, managed through Soroban smart contracts, serve as unique identity tokens that showcase an individual or entity's characteristics, features, traits, and accomplishments in a visually appealing format. With its unique combination of decentralization, innovative visualization, and simple verification, Chaincerts provides unparalleled security, reliability, and transparency to the certificate management process.

Certification systems are outdated and unreliable. Traditional methods such as paper certificates, digital images, and PDFs are susceptible to falsification and manipulation, making it challenging to verify their authenticity. This is a significant issue for individuals and organizations who need to provide verifiable certifications to others.

Chaincerts offers a modern solution to the outdated and unreliable certification system, using blockchain technology to eliminate the limitations of traditional diplomas, PDFs, and cumbersome verification processes. Chaincerts is a transparent, tamper-proof, and visually appealing solution that aims to revolutionize the world of certifications.

Chaincerts leverages the strengths of the Stellar blockchain and Soroban's smart contracts. Stellar will ensure the security, verifiability, decentralization, revocability, uniqueness, non-transferability, and singularity of certificates. By incorporating Soroban's smart contracts, we will enhance the transparency and credibility of certificate management operations, providing unparalleled security and reliability. Our goal is to introduce the innovative concept of Soulbound Tokens within the context of Stellar and Soroban, giving new meaning to certificates.",,,https://chaincerts.co,,https://vimeo.com/795978658,,,,,,,"Miguel Nieto, Juan Hurtado",,https://co.linkedin.com/company/kommit-co,https://twitter.com/kommitco,,
Public Node,SCF #13,Public Node,Public Node,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recyLIn8jG3DJVJz3,Awarded,,Legacy Award v4.0 (90%),$150000.00,$150000.00,1440467.95,4/5/2023,Legacy v4.0 Award,A nonprofit organization that supports and brings a trusted and meaningful public voice to open and inclusive blockchain networks. ,"As the Stellar Network grows, we’ve seen an increased number of projects reach out to us to provide a critical piece to future trustless services – such as trustless key recovery for users of the “Bean App” (a SCF round 10 winner). Similarly, the SDF has been encouraging a potential Public Node role in Allbridge’s trust-minimized cross-chain bridge. We expect similar opportunities will only grow with the introduction of Soroban. Any funds received from SCF round 12 will be used to expand our stellar-supporting hardware, implement ongoing trustless opportunities, and seek out new partnerships and methods to provide trust-minimized services to developers using Stellar.",,,https://publicnode.org,,https://youtu.be/SVSwUdOSu-w,,,,,,,Daniel Fisher ,,,https://twitter.com/publicnode,https://discord.gg/pVR29p5NxK,
Okashi,SCF #13,useSoroban.app,Okashi,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recrMvxb9uFph97RM,Awarded,,Legacy Award v4.0 (90%),$82000.00,$82000.00,788299.02,4/4/2023,Legacy v4.0 Award,"Online Soroban playground with a fully emulated host environment and instant contract calls, designed for onboarding web devs.","The product I'm building - useSoroban.app - will provide an accessible environment for anyone with a web development background to experiment with Soroban. With an in-browser host environment, users will be able to instantly see their contract call outcomes, see ledger changes, compose and execute complex transactions involving multiple accounts and contracts, among other things.

Smart contract platform onboarding is tricky, especially when you want to reach web developers - the biggest developer demographic. The time it takes for a curious web dev to interact with their first contract is a point of churn. Web devs are used to amazing, zero-setup tools that work in the browser, and by reducing the time-to-interaction to essentially zero - we keep them engaged. Moreover, once you click that button to ""compile"" a contract and you start interacting with it, you've created something - you have left your mark on the blockchain. This could provide extra incentive to stick around.

The product is composed of 4 services and packages. A compiler service that uses Rust and Cargo to configure and compile Soroban contracts into executables. I'm using Node to indirectly interface with Cargo, without interacting with the Soroban CLI. A custom WebAssembly disassembler/reassembler to inspect and optimize contract executables written in JavaScript. I also want to instrument contract executables to further enhance the playground experience. Web app that is the primary point of contact with useSoroban.app, written in JavaScript + React. I'm leveraging the JavaScript interface for WebAssembly to simulate a host environment for contracts within the browser. A custom JavaScript SDK for Soroban. It's something I started building for sorobandev.com and abstracted into its own public package. This SDK is required to enable simplified contract-based transactions using minimal syntax. The SDK will also be used when users export their playground projects to continue work locally.",,,usesoroban.app,https://github.com/useSoroban,https://youtu.be/G_QZSNlgxyA,,,,,,,Morgan Wilde,,,https://twitter.com/Okashidev,,
Sorobix,SCF #13,Sorobix,Sorobix,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recgHtdnSOVB0qjp0,Awarded,,Legacy Award v4.0 (90%),$40000.00,$40000.00,384088.39,4/6/2023,Legacy v4.0 Award,"An online IDE to compile, deploy, invoke and debug Soroban Smart Contracts on-the-fly using a browser without any local setup!","What can you do with Sorobix?

Deploy Contracts to Futurenet using 0 compute resources of your own. No setup required to try out Soroban. Easily write your own smart contracts on our online IDE. Build and test out functions written in your contract and easily debug your contract before deploying. Deploy contracts to the futurenet with a single click. You don't even need a wallet to deploy on testnet! (We automatically create one and provide the keys to you!) Invoke existing deployed smart contracts using their Contract ID.

How does this benefit Soroban/Stellar Ecosystem?

With the launch of Soroban Smart Contracts on the Stellar Network, we expect a huge influx of developers joining the ecosystem to get their hands dirty. Setting up Rust (the language Soroban Contracts are written in) in a local environment has always been tricky. This has always been a point of friction for first-timers onboarding or trying out the Soroban ecosystem. This is where Sorobix jumps in. With its online IDE capabilities, users can quickly write their own smart contracts from the browser itself and also try out pre-written sample codebases provided by the community! Soroban being at a nascent stage with its FutureNet launch last quarter, we want to scale it together using Sorobix to increase user adoption in the developer community of Soroban and benefit Stellar Network.

Before Sorobix:
- Install Rust on a local system (5 mins)
- Install the wasm32-unknown toolchain for rust (3 mins)
- Install the soroban-cli (10 mins)
- Initialise Cargo Project and Copy starter code from Docs (2 mins)
- Build the Contract (10 mins)
- Deploy/Invoke/Test the Contract (10 mins) [Depends on PC Spec]
- Total Time Taken: 40 mins

After Sorobix:
- Click on the Try out Code Button on the Soroban Docs/Visit our website and find the starter code (1 min)
- Deploy/Invoke/Test the contract (4 mins) [Superior remote build system]
- Total Time Taken: 5 mins

As you can see, we have made the process 8x faster for newer developers and adopters to try out Soroban!",,,https://sorobix-ide.vercel.app,https://github.com/sorobix,https://youtu.be/ZwPBV2vISF4,,,,,,,"Hemanth Krishna, Rishabh Keshan",,,https://twitter.com/sorobix_ide,,
Haciendo Stellar,SCF #13,Haciendo Stellar,Haciendo Stellar,Education & Community,https://communityfund.stellar.org/dashboard/submissions/rec9lcpC8qKgb7Tyc,Awarded,,Legacy Award v4.0 (90%),$27420.00,$27420.00,291585.29,5/2/2023,Legacy v4.0 Award,"We are a Spanish-language communication platform for Stellar and Soroban, focused on the Latin American and Spanish market.","At Haciendo Stellar, we will not be launching technological projects ourselves, but rather assisting those who wish to launch or have already launched their project with Stellar & Soroban to gain greater promotion for their projects.",,,https://haciendostellar.com,,https://www.youtube.com/watch?v=LaHcRvZ39C8,,,,,,,Fede Perez jacomet ,,,https://twitter.com/haciendostellar,https://discord.gg/3StMXdjGt3,
