Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Mojoflower,SCF #11,Flora,Mojoflower,Applications,https://communityfund.stellar.org/dashboard/submissions/rec2zLlTCpBSzq6XL,Awarded,,SCF Legacy Award,$47500.00,$47500.00,544787.0,12/9/2022,Legacy v3.0 Award,"Flora is a marketplace where users can access apps, integrations, transaction templates, and third-party Soroban Smart Contracts.","Problem. There are a lot of practical web3 applications that people can use, but adoption could be much higher. One big hurdle for user adoption is access to services, steep learning curves, and complicated user experiences. We want to simplify the user experience and promote the use cases rather than the underlying technology.

Flora makes it easier for users to transact and engage. We want to make it easy for our users to access a variety of curated services that helps them make use of the Stellar network. Flora gives users access to apps and services for specific use cases, focuses on business, and aims to allow business owners to assemble their value chain much more quickly. These apps include transactions, governance tools, voting modules, invoicing, payment services, and third-party services.

First, we will focus on transactions and transaction templates. Users can set transaction parameters through intuitive wizards and with human-friendly language. Some templates will include legal guidance to help users attach documents as legal proof of their transactions and improve user comfort.

Transaction templates can be described as UI components for Stellar for smart contracts, both Classic Stellar Smart Contracts and transactions and later for Soroban Smart Contracts. Our focus is on business owners and project creators that want to bring their traditional business closer to DeFi and web3.

All users will require a Stellar wallet to keep their assets safe and secure. We will seek a relationship with developers on Stellar for support and the development of more apps and integrations, support growth, and contribute to user adoption on the network.",,,https://www.mojoflower.io,,https://vimeo.com/765435872/b00af8d37f,,,,,,,Ólafur Páll Torfason,,https://www.linkedin.com/company/mojoflower/,https://twitter.com/home/Mojoflower,,
SNNAC,SCF #11,SNNAC - Stellar NFT NFC ACcess,SNNAC,Applications,https://communityfund.stellar.org/dashboard/submissions/rec7rqjVZKmExp44A,Awarded,,SCF Legacy Award,$7500.00,$7500.00,86019.0,12/9/2022,Legacy v3.0 Award,"SNNAC users engage in seamless transactions using Stellar Lumens, Non-Fungible Tokens (NFTs) & Near Field Communications (NFC).","NFT gated access is widely applicable. From concert tickets to security access to social club membership, our free and open-source software (FOSS) can be used by anyone to create NFT based ecosystems utilizing the Stellar blockchain. We plan to bundle the hardware preloaded with the software for purchase and easy non-technical setup.",,,https://snnac.me,https://github.com/BlockShangerous/SNNAC,https://www.youtube.com/watch?v=Y_vGJ4IYsvQ,,,,,,,Jay Carpenter,,,,,
CashAbroad,SCF #11,CashAbroad,CashAbroad,Applications,https://communityfund.stellar.org/dashboard/submissions/recRhRDNW8zDJZBPA,Awarded,,SCF Legacy Award,$10000.00,$10000.00,114692.0,12/9/2022,Legacy v3.0 Award,"Cashabroad helps businesses do abroad payments as easy as with locals, with low-cost and instant transactions.","🎁 Product

CashAbroad is a web platform where businesses in Latam can send and receive cross-border payments from international merchants and vendors with low-cost, instant transactions and a group of smart features that make your paying journey a pleasure.

🤔 Problem

Paying vendors is disorganized and inefficient because approvals, invoices, and payments are often on different channels, like WhatsApp, emails, and paper bills. Moreover, Mexican companies lose up to +9-12% in revenue in cross-border payments and spend up to 30 hours or more a month on payment transactions, a time that would be best spent on strategy. These businesses also struggle with liquidity due to long settlement times, which push them to use credits or loans (more costs!) to keep their businesses running. On top of that, they spend effort and time redoing their invoices due to constant exchange rate fluctuations. We are creating features to help them do their job smoothly and pain-free.

- Pay/receive directly with your local currency to merchants abroad in dollars or their local currency.
- Automatic Payments | Schedule a one-time/recurrent date to pay one or multiple recipients; great for utility bills or salaries.
- Mass Payments | Pay simultaneously to multiple users. Great for paying salaries!
- Invoices | Sent invoices with smart adjustments to request payments (USD/local currency).
- Accounting Imports | Download your transaction history to use it on your favorite accounting software.
- Approvals | Invite collaborators and request approvals, for example, from accounting or you!

With Cashabroad, businesses of small and medium sizes like developing, design, marketing agencies, people that give courses online, consultants, real estate, and others will be able to open their frontiers.

⚒️ How it Works

In partnership with Wyre, we create a custodial wallet for each user and through Stellar Blockchain have compliant FIAT to crypto On/Off ramps. Plus KYB and AML compliance. We use Spreedly to be PCI compliant.",,,https://cashabroad-website.netlify.app/,,https://youtu.be/GxQmI0frxwk,,,,,,,"Braulio Alejandro Ramírez Montiel, Ruth Gomez Hidalgo",,https://www.linkedin.com/company/cashabroad/,https://twitter.com/CashAbroadApp,,
Mythforge,SCF #11,Mythforge,Mythforge,Applications,https://communityfund.stellar.org/dashboard/submissions/recVFqjqi3AZbPdfb,Awarded,,SCF Legacy Award,$15000.00,$15000.00,172038.0,12/9/2022,Legacy v3.0 Award,A game utilizing XLM to provide players a way to immortalize their favourite in-game items,"MMORPG

A game that allows players to immortalize and secure the items they create by minting NFTs and linking their item to the Stellar blockchain. Future features will utilize Smart Contracts to enable players to loan their NFT gear out to other players and set the rental fees.",,,https://mythforgegame.com/,,https://youtu.be/maHQyChVqjU,,,,,,,"Peter, Peter ",,,,,
Elsa Wallet: Banking Filipinos,SCF #11,Elsa Wallet: Banking Filipinos,Elsa Wallet: Banking Filipinos,Applications,https://communityfund.stellar.org/dashboard/submissions/rec98Nb2sLU0GFRvp,Awarded,,SCF Legacy Award,$95000.00,$95000.00,1089574.0,12/9/2022,Legacy v3.0 Award,"A wallet for Filipinos to receive, spend and earn from their remittances – bringing them closer to their overseas loved ones","elsa.care is an all-in-one platform where Overseas Filipinos and their loved ones can deal with all-things-money: send, receive, hold, and earn in a flexible, social, and easy way for senders and receivers. FEE-FREE CROSS-BORDER PAYMENTS APP FOR OVERSEAS WORKERS. Our app allows overseas Filipino workers to transfer money without fixed fees at the best rates – saving an average 7.5% in fees on their hard-earned money. By removing fees, migrant workers are empowered with the opportunity to send what their families need, when they most need it. We built a network of +25,000 offramp locations nationwide – covering grocery chains, drugstores, hospitals, clinics, financial institutions, and cash networks, as well as utility suppliers including load and data providers, electricity, and water billers. RECEIVER WALLET: LAUNCHING THE FIRST TWO-SIDED REMITTANCE SERVICE. But remittances are naturally a two-way dynamic between migrant workers sending and those receiving funds – currently only served through remittance solutions on the send-side. +50 million people in the Philippines rely on remittances to make ends meet. More often than not, these people have been left behind by the financial system. The elsa.care Receiver App allows distant families to communicate and manage their family finances in a one-stop-shop. Through our wallet, Elsa revolutionizes the off-ramping experience for those whose lifeline depends on cross-border inflows. Allowing recipients to receive and track remittances, hold it in a local currency token – or USDC to hedge inflation – generate a yield on their balance, redeem through our nationwide network, and even earn rewards from our partners. A NEXT-GEN APP FOR FINANCIAL INCLUSION OF THE UNDERBANKED. We aim to onboard non crypto-savvy users to benefit from Stellar by building non-custodial wallets for the underbanked Filipinos. This project will be the first step towards building an ecosystem of decentralized financial services that empowers 50% of the Philippine adult population to save, spend, and even access fair credit and loans. This wallet serves as the cornerstone of our vision: helping make payments more fair, and the financial system more accessible for +60m Filipinos!",,,https://www.elsa.care/,,https://youtu.be/MRLI2O8zDyw,,,,,,,"Alessandro Colombo, Ignacio Jimenez de Laiglesia",,,,,
Empowch,SCF #11,Empowch,Empowch,Applications,https://communityfund.stellar.org/dashboard/submissions/recLsBtTbsX1MST6w,Awarded,,SCF Legacy Award,$25000.00,$25000.00,286730.0,12/14/2022,Legacy v3.0 Award,Offering a mobile wallet to the unbanked the MENA region by connecting them with family members abroad.,"We are offering a mobile wallet for the Lebanese diaspora to send remittances to their family members back home easier, faster, and cheaper. It also allows freelancers in Lebanon to get paid directly to their mobile app and use the cash within our ecosystem. We are building on Stellar and offering a self-custody wallet. With the increasing anchor network, we can help people in Lebanon get included in the modern economy.",,,https://www.empowch.com/,,https://www.youtube.com/watch?v=RX6z4n1x5NU,,,,,,,"Andrea Araiza, Rami Daas",,,,,
Chronospay,SCF #11,Chronospay,Chronospay,Applications,https://communityfund.stellar.org/dashboard/submissions/recqUH2wcPLJ4Yy7j,Awarded,,SCF Legacy Award,$65000.00,$65000.00,745498.0,12/15/2022,Legacy v3.0 Award,A new low cost processing system to help businesses in South America.,"Chronospay is a platform for businesses to get payments in all ways, digital (on the internet) or physical (in person).

Web-based solution (eWallet + WebPOS + Business Dashboard):
- Multi-currency
- Dashboard (balance of each currency, digital and fiat)
- Deposit and withdraw
- Send and receive
- Make payment request (link or button payment)
- Web POS
- Details of transaction
- Details of payment requests (status, refunds, standby)
- Payment FIAT/crypto gateway (sBTC, sETH, BTC, ETH, USDC, USDT, XLM, ARSX, BRL)

Mobile version (iOS and Android) (eWallet):
- Multicurrency (FIAT & Crypto)
- Deposit and withdraw (Bank account, credit card, and ATM)
- Send and receive
- Make payment request (link or button payment)
- Details of transaction
- Details of payment requests (status, refunds, standby)

Administration Backend:
- General Dashboard Financial and Performance KPI (balance of FIAT and crypto accounts)
- Onboarding administration: KYC, Screening, and compliance
- User administration: Profile, status, and performance
- Transaction details and administration
- AML algorithm parametrization
- Referral program administration
- Reporting (crypto, fiat, users, etc.)",,,https://chronospay.io,,https://vimeo.com/716009207,,,,,,,"Matias Plano, Matias Plano",,,,,
Stellarcarbon,SCF #11,Stellarcarbon,Stellarcarbon,Applications,https://communityfund.stellar.org/dashboard/submissions/recLcwrhYkZd6qH2o,Awarded,,SCF Legacy Award,$37000.00,$37000.00,424360.0,12/9/2022,Legacy v3.0 Award,Stellarcarbon provides transparent nature-based carbon offsetting with proof of retirement on Stellar and in the Verra Registry.,"With Stellarcarbon, anyone with a Stellar account can do a voluntary carbon offset that is registered both on-chain and off-chain. We have been building the infrastructure needed to connect legacy carbon markets with the new digital economy taking place on public ledgers. Other companies building on Stellar will be able to integrate our backend service into their products and services, to give users easy access to carbon offsets. On top of this infrastructure, Stellarcarbon itself wants to develop and launch a retail shop for carbon offsetting aimed at individuals and businesses.

A major problem that voluntary carbon markets have faced over the past decades is low trustworthiness, on both the supply and demand side. While several governance bodies have stepped up to increase the integrity of carbon markets, it is still possible for providers to offer carbon credits without any oversight. Stellarcarbon addresses this problem by only working with a subset of VCS and CCB certified offsets, and by individually vetting projects.

Centralized registries are still essential, and we need to rely on them for the safeguards they provide. Unfortunately, they offer no way to intervene when an offset is used to make inaccurate claims about a company’s sustainability, or is even used to cover up environmental or social damage caused elsewhere. Stellarcarbon will develop terms of purchase that, together with a clawback mechanism, will allow us to invalidate malicious offsets on-chain.

Stellar provides us with the payment rails to fund offsets, and with transparent accounts onto which we can lock a carbon offset. An offsetter can pay with any liquid asset in their account to receive CARBON, select a vetted offset project to fund, and receive CarbonSINK as on-chain proof of retirement. Their offset is recorded in the Verra Registry, and the offsetter receives an off-chain certificate directly from Verra.",,,https://www.stellarcarbon.io/,,https://vimeo.com/753518986,,,,,,,"Alex Olieman, Adam Menary, Henk",,,https://x.com/stellarcarbon,,
Paystreme,SCF #11,Paystreme,Paystreme,Applications,https://communityfund.stellar.org/dashboard/submissions/recHSkknw3I5dlCDK,Awarded,,SCF Legacy Award,$50000.00,$50000.00,573460.0,12/9/2022,Legacy v3.0 Award,A payment streaming platform that enables customers to pay in real time for services.,"The company is developing a payment streaming platform called Paystreme that enables users to pay in real time for services. By using a Layer 2 payment channel on Stellar called Starlight, we will create the effect of streaming payments. Users will be able to send payments on a per-second basis as they consume any service. Consumers will not be required to pay monthly subscriptions to access streaming platforms like Netflix and Spotify or sign up for any service, eliminating the need for usernames and passwords. Consumers only need a pre-funded compatible wallet on their PC or mobile phone and choose what they want to read, see, listen, or use. By further applying this technology, we will develop the concept of payment bandwidth, which will translate to some amount of money per minute or second. Cell phone carriers, for example, could opt to charge different payment bandwidths for 3G, 4G, or 5G pay-as-you-go download speeds.

Today, 70% of Latin America's population remains unbanked or underbanked, and 58% of point-of-sales purchases are still made in cash. Consequently, over 400 million prepaid aggregate service subscribers in Latin America struggle with paying for utility services every month. Being excluded from the financial system and paying for recurring services is not only inconvenient and tiring; it is expensive. When handling prepaid customers, utility companies and merchants are subject to high fees, deductions, commissions from prepaid cards by vendors, and sometimes even interest. Paradoxically, these inefficiencies make the poor pay higher rates for services, making it expensive to be poor.

By building on Stellar, Paystreme will provide the fastest, most convenient, and most efficient way of paying for services. By using Stellar's Layer 2 payment channel, Starlight, we can process over 1 million payments per second per channel, making our platform highly scalable and efficient. Also, by partnering with MoneyGram and Stellar, we will be able to use hundreds of thousands of locations to onboard cash clients onto crypto. Unbanked consumers can use cash to pay for services at more competitive rates than before. Lastly, by integrating into Stellar's Anchor Platform, we will access traditional FIAT rails and allow banked users to easily top off their wallets.",,,www.mywalletguru.com,,https://www.youtube.com/watch?v=qFhQZ1f_Yr4,,,,,,,"Fernando Almiñana, emilianawalletguru",,https://www.linkedin.com/company/walletguru/,https://x.com/WalletGuruLLC,,
Kata.Games,SCF #11,Kata.Games - Sharing platform,Kata.Games,Applications,https://communityfund.stellar.org/dashboard/submissions/recHtbbed2g2fGLlZ,Awarded,,SCF Legacy Award,$25000.00,$25000.00,286730.0,12/9/2022,Legacy v3.0 Award,Hosts games to help players open up to new ideas and use cryptos/ Offers a tool that empowers game devs to create online & share,"We build a marketplace implemented through a web app. It matches players and game creators in a non-standard and fun way. For more info see the “Overview” section.

What problems do we solve?

Kata.Games deletes 3 problems simultaneously:

1) How can one create games and share them online efficiently?
We provide creators with a toolbox and the access (via KataSDK) to a brand new infrastructure. It allows anyone to create, host, share his/her independent game. The key benefit here is simplicity of use.

2) How do players connect with game creators in a fast and convenient way?
We’ve built a proprietary technology capable of “streaming” and running any kind of 2D game in the browser, along with its dedicated hosting solution for games.

3) How to make cryptocurrencies widely adopted widely?
We build a product that will attract and retain a large number of users due to its features and its innovative design. Using the Stellar network adds benefits: for players the diversity of games will be greater (because the barrier to entry is lowered for creators) and players will learn real-world technologies/skills while using our system!

Kata.Games' Stellar integration

Using Stellar allows us to:

- Provide a unified digital identity for the user. Such an identity can be used throughout many games, this is convenient. During registration, every new avatar gets associated with a pair: Stellar address, extra details… Once it’s done the Stellar address contributes to authenticating a user. We use the Freighter wallet at Sign in and Sign up time, and integration of Albedo will be added.
- Secure the ownership of virtual goods. If the user buys a very valuable item in a given game, we will store the ownership on the Blockchain via an NFT. An extra benefit is being able to use the SDEX for trading virtual goods minted by us. Also, we’ve introduced special game entities called “portals”. Every portal is represented by an NFT-like token. Owning a portal implies that you can configure it to redirect to the game of your choice. In other words, you can own a part of our virtual world!
- Enhance the freemium model, speed up microtransactions. Transactions done via our system will be faster and more inclusive compared to competitors. Paying one’s premium status on Kata.Games will be done via cryptos. More specifically, we want to operate like a crypto exchange: fiat deposits will be possible (withdrawals too, but later in our company development) but fiat money will not be used at all when users are active within the system, only cryptos will.",,,https://linktr.ee/katagames,https://github.com/gaudiatech/kengi,https://www.youtube.com/watch?v=uyW6XXIGCNo,,,,,,,Thomas Iwaszko,,,https://x.com/createplayearn,,
