Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
LINK IO,SCF #28,WAVY by LINK,LINK IO,Applications,https://communityfund.stellar.org/dashboard/submissions/recM5WNSe47TmTcfA,Awarded,,SCF Legacy Award,$87000.00,$87000.00,843047.7,7/18/2024,Legacy v5.0 Community Award,Stablecoin Liquidity Layer for the Internet,"Problems as they exist today:

OTC Traders looking for a secure way to do large scale transactions without having to hold/swap on a liquidity pool. Today CEX's (as we have seen with numerous limitations) hold the market share on P2P Transactions and are not scalable in emerging and developed economies because of the various regulations and bureaucracy surrounding them. Trust still remains a major factor in P2P Payments. Counterparty risks and really slow settlement times. Stellar doesn't have a DeFi Incentivized protocol focused on stablecoins. These marketplaces are so static and rigid and are not flexible enough for under the hood automatic liquidity provision.

Our Solution:

Build: As global FX activity grows, Centralized players become increasingly fragmented. No Decentralized alternative yet. We’re bringing the full $805B FX market on-chain. Payments layer (LINK Business, DFX), FX focused liquidity layer (WAVY), Yields Layer (USDC, EURC, CADC, BRZ). WAVY is eliminating this by enabling peer-to-peer payments to be instant, secure and incentivized. P2P: OTC powered by a trustless escrow smart contract. Swap: Stablecoin swaps powered by WAVY'S P2P Marketplace, Soroswap etc. Spend: Stablecoin digital debit card. Bridge: Stablecoin transfer across blockchains (Ethereum, Polygon, Solana, Stellar, Avalanche). Top Up & withdraw: Compliant local on & off ramps (For Consumer: SEP6/24, Bank Transfer, MoneyGram, VISA, Interac, Google Pay) (For Businesses: LINK Business).

By leveraging partnerships with stablecoin anchors to enable said on & off-ramps. This also in turn boosts the respective anchors activity on Stellar. Permissionless on and off ramps leveraging anchor partnerships on the network (on the roadmap as well would be to build sort of a bridge on soroban smart contract that would allow cross chain). FOCUS IS BUILDING the Largest Stablecoin P2P Marketplace where users get to buy/sell stablecoins with other stablecoins at their own terms, in this case we are building our own asset trustless set of escrow contracts on Soroban that would hold the both stables that lets the both users sign through their wallets with/without the other counterparty.

Think of it as a decentralized Binance P2P Place but for stablecoins where users can buy a stablecoin of their choice (from the Vendor or Ad) and off-ramp that to a local payment method using the inbuilt ramp feature unique to the anchors. Or use the bridge feature powered by the soroban smart contract to send it across different chains.

Pitch deck: https://docsend.com/view/emcitcy2gkg52879
More technical info on our Soroban Contract: https://github.com/linkioafrica/wavy",,,https://usewavy.xyz,https://github.com/linkioafrica/wavy_soroban_contract,https://youtu.be/kZ6GhrJXid4,,,,,,,Emmanuel Evarist,,,https://twitter.com/Link_IO,,
SGF Solutions,SCF #28,SGF Solutions,SGF Solutions,Applications,https://communityfund.stellar.org/dashboard/submissions/rec3KOWI0PBoNoy0A,Awarded,,SCF Legacy Award,$30500.00,$30500.00,349261.97,7/10/2024,Legacy v5.0 Activation Award,"Provide liquidity to Argentinians by exchanging USDC for ARS, and depositing them directly into their bank accounts","At the moment, the two major players fully integrated with Stellar in Argentina are Settle (used by Vibrant) and Anclap. https://stellar.expert/explorer/public/asset/ARST-GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG: Supply: ARST 237M https://stellar.expert/explorer/public/asset/ARS-GCYE7C77EB5AWAA25R5XMWNI2EDOKTTFTTPZKM2SR5DI4B4WFD52DARS-1: Supply 24M Keeping a steady supply of digital ARS is difficult. Even with the new policies Argentina has been implementing which kept the ARS at USD 1:ARS 1000 for nearly four months, recently the ARS has again devalued from USD 1:1000 to USD 1:1300 (30% depreciation) almost overnight. See: https://cuex.com/en/usd-ars_pa At SGF (SGF Solutions SRL), we have 12 years of providing financial solutions to Argentinians, and through our well-established network of retail and corporate clients, we are able to provide double the liquidity in ARS and USD than the other two providers combined, monthly; our relevant monthly volumes are ~ARS 600M (7.2bn/yr) in bank transfers (payouts) which are exchanged from ~USD 500,000/month (6M/yr) and smaller volumes of crypto (BTC, ETH, USDC, USDT) totalling ~USD 100,000. Our operating fees, while dynamic, are generally between 0% and 1%. We believe this is a good fit for the Stellar network, which prides itself on providing low fees for financial transactions. While not relevant to this application, we also provide remittances from Argentina to Spain, which has seen a significant uptake in the last few years as the emigration rates increased due to Argentina’s poor economic conditions. It’s important to clarify that we are not looking to issue our own ARS asset, but rather to improve the interoperability of the Stellar blockchain by accepting Stellar’s USDC and off-ramping ARS directly to bank accounts and digital wallets (CBU’s and CVU’s such as MercadoPago, see https://www.bcra.gob.ar/MediosPago/Politica_Pagos-i.asp). SGF proposes building an application that leverages the Stellar Anchor Platform and SEP-24 to accept USDC and offramp ARS. This is supported in SEP-24 as per this pull request https://github.com/stellar/stellar-protocol/pull/1064, and we quote: “This protocol was originally designed to provide conversions between off-chain and on-chain equivalent assets – for instance BRL <> BRLT, USD <> USDC, NGN <> NGNT, etc. – but it has been updated to make exchanges between off-chain and on-chain non-equivalent assets like BRL <> USDC.“ Our use case is USDC <> ARS (one-way, to begin with). Please see the concrete steps to achieve this in our technical architecture document and make sure to read our total expected roadmap in the relevant section of this document. If you have any questions, please reach out to us @ martin_sgf on Discord.",,,https://www.sgfsolutions.io/,,,,,,,,,"martin_sgf, martin_sgf ",,,,,
Gearup - Marketplace,SCF #28,Gearup - Marketplace,Gearup - Marketplace,Applications,https://communityfund.stellar.org/dashboard/submissions/rec6upUevElzRhgCs,Awarded,,SCF Legacy Award,$50000.00,$50000.00,538585.33,6/21/2024,Legacy v5.0 Activation Award,"The Peer-2-Peer marketplace for African Creators to rent, sell &amp; buy gear, studio space and courses built on the Stellar Network.","Gearup is a peer-to-peer marketplace that helps African creators to rent, sell and buy gears, studio spaces and professional courses on the Stellar network.

Problem

According to a Bloomberg report, the audio-visual industry in Africa faces significant challenges due to the high cost and limited accessibility of gear and studio spaces for creators to execute audio-visual projects. It's estimated that the audio-visual industry loses approximately USD 1.2 billion yearly due to these barriers. Additionally, the lack of professional workshops, audio-visual production courses, and training hampers the productivity and profitability of African creators.

Solution

Gearup solves this problem through a peer-2-peer marketplace application that lets creators across Africa have seamless access to quality gear, studio spaces, and professional courses they need to bring their vision to life without the burden of high purchasing costs. We do this by leveraging blockchain technology to track and trace gear, courses, and studio trades and reward good actions in the trading process to ensure security, speed, and transparency.

Additional Information

Gearup offers a decentralized investment opportunity for both creators and non-creators to invest in high-demand gear and list them on the marketplace to generate passive income from rentals. In addition, our comprehensive insurance coverage helps to protect gear owners from all forms of eventualities. This innovative model allows anyone to invest and participate in the creative economy.

The Opportunity

Building Gearup on the Stellar network offers unparalleled opportunities for marketplace applications due to Stellar's fast, low-cost transactions and robust security features. Stellar Network will enhance Gearup's efficiency in handling micro-transactions and on-chain tracking of gear movement from person to person. In addition, Stellar's infrastructure ensures transparency, reduces operational costs, and enables seamless integration with financial institutions built on Stellar. In return, Stellar Network will benefit from Gearup through automatic onboarding of Gearup users into the Stellar Network, increased transaction volume and network activity which can enhance liquidity and network robustness. Gearup's adoption will attract more users, particularly creators, gear and studio owners, and businesses to Stellar Network, thereby fostering a larger ecosystem.",,,https://gearup.market,https://github.com/Gearup-Market,https://www.youtube.com/watch?v=TN-jMhERphQ,,,,,,,Obasi Francis,,https://www.linkedin.com/company/gearupmarket,https://twitter.com/Gearupmarket,,
GiveCredit,SCF #28,GiveCredit,GiveCredit,Applications,https://communityfund.stellar.org/dashboard/submissions/recjpO5HRcHKL3QhH,Awarded,,SCF Legacy Award,$64000.00,$64000.00,620175.47,7/18/2024,Legacy v5.0 Community Award,"GiveCredit is a platform for crowdfunding environmental impact using tax-deductible donations, built on Soroban.","GiveCredit is a platform for crowdfunding environmental impact, built on Soroban and already deployed on Soroban mainnet. GiveCredit's pilot initiative is offsetting the total carbon dioxide emissions from the Stellar blockchain ecosystem, partnering with SCF grantees StellarCarbon (who are providing carbon credits sourced from Verra, a leading carbon credit provider) and PublicNode (a 501(c)3 nonprofit providing blockchain infrastructure accepting donations to make Stellar fully carbon neutral).

GiveCredit solves different problems for different customer demographics. For donors: It allows them to reduce crypto-related tax fees such as capital gains by making tax-deductible donations for negligible fees, while also making a verifiable positive impact on the environment. For nonprofits: It opens a new source of funding, as well as enabling them to a positive impact on the environment (such as offsetting the emissions from their work). For blockchain carbon projects: it provides a stream of revenue- people to buy the tokenized credits they are offering! For interested third parties such as governments, corporations and foundations- it provides a way to crowdfund carbon dioxide removal (CDR) and other emissions offset initiatives, as well as a source of data about positive environmental impact being made by citizens and nonprofits. For the planet and humanity: Donations through GiveCredit help fund ecosystem preservation and other forms of positive environmental impact.

How GiveCredit Works: First, the user chooses a project in the GiveCredit app, and goes through the payment flow to send a cryptocurrency donation for the desired amount. At this point, the user can elect to mint an NFT containing the donation details in the metadata as well as to receive a receipt email for tax purposes. The NFT is minted on Soroban using a modified ERC-721 contract.

Second, the donation flows to the nonprofit, where it is then divided by Soroban smart contract. A portion, typically 10%, is retained by the nonprofit to cover administrative fees and overhead, and the remainder used to retire carbon credits. The remaining funds are sorted by Soroban smart contract into “buckets” corresponding to the price of one carbon credit, after which they are transmitted to the carbon credit provider (in this case, StellarCarbon).

Third, when funds are received by StellarCarbon, they retire carbon credits for the given amount and expose the retirement data in their API, to be accessed by GiveCredit. Finally, GiveCredit’s hook system retrieves retirement information and mints it automatically by Soroban smart contract as an NFT under the appropriate initiative, forming a verifiable connection between the donation and the emissions offset.

Donation, donor identity, NFT, and carbon credit data are stored in GiveCredit's registry database to create a full record of all behavior, display up-to-date data (e.g. carbon credit price, initiative progress) and ensure reliable and efficient performance within the GiveCredit app.",,,https://givecredits.cfce.io/,,https://drive.google.com/file/d/1eqSn07fPMqDtFnh6Bc6MUcH3yTHL2UIe/view?usp=sharing,,,,,,,Evan Cooper Hudson,,,https://x.com/c4collabecon,,https://docs.google.com/presentation/d/16Rs3PAyj7fjI-Q6fCk5jVdqLukWxrCcy9ZORQrkQI18/edit?usp=sharing
Utoken (Upesa),SCF #28,Utoken,Utoken (Upesa),Applications,https://communityfund.stellar.org/dashboard/submissions/rechwhwWyyUgGgDlC,Awarded,67.0,Pre-Launch #2 - Testnet,$28379.00,$28379.00,305690.26,,Legacy v5.0 Activation Award,We provide a platform to pay for services using USDC and EURC,"The Utoken app, through a simple user interface, will allow users (anyone with a stablecoin like USDC in their wallet) to pay bills like data subscriptions, and services using stablecoin.

The problem
The app addresses the issue of Utility for stablecoins beyond remittance and cross-border payment.

Functionalities
The app offers two distinct functionalities which are:

Bill payment which covers common utility services like airtime, data subscription, savings etc. and Service payment like gig payment for freelancers and NGOs.

For bill payment we will make the following available using USDC and EURC on Stellar:

Airtime purchase
Buy data subscription
Pay electricity bill
Pay for cable TV
Buy Gift Card

For services users will be able to:

Donate and support public service/goods through our simple application interface
Freelancers can create a gig link they can share and get paid

How it works
This is how a user will use the Utoken web app to settle their bill using USDC in their wallet:

The user visits the website and launches the Utoken web app
The user connects any of the supported Stellar non-custodian wallets like Exodus using SimpleSigner
The user chooses a location and the service they are interested in paying for e.g Data Subscription
The user enters the amount they want to pay, their service ID e.g Subscriber number and the stablecoin of their choice to use
The user initiates payment and signs a transaction request which is done through Simplesigner
The transaction is approved in the connected wallet after which the user is redirected to the Utoken app. The transaction involves sending the token of choice (USDC) from the user's Wallet to the Utoken multi-sig address on the Stellar Blockchain
Bill is initiated from the app and the transaction status is shown to users
Bill payment is done and the user gets notified through their service provider. For example, they receive a top-up notification from their local telecommunication company

This is how a user will pay for services:

The user visits the website and launches the Utoken web app
The user connects any of the supported Stellar non-custodian wallets like Exodus using SimpleSigner
The user selects the gig button or donate button
They search for a service provider of their choice and click on it
The user enters the amount they want to pay and some relevant info for communication
The user initiates payment and signs a transaction request which is done through Simplesigner
The transaction is approved in the connected wallet and the user is redirected to the Utoken app. The transaction involves sending the token of choice (USDC) from the user's Wallet to a multisig address for payment splitting or escrow service.
In the case of gig, the service provider (the freelancer) gets notified with the gig link which can be used to request release of funds. The user (paying for the service) can also release funds using the gig link.

Target Users
The product targets:

Crypto natives
Freelancers
Traders
Investors
NGOs offering public goods

How we use Stellar
We will use the Stellar blockchain to process payment transactions from a user
We will leverage Stellar Anchor to off-ramp and settle web2 service providers
We will build an escrow service powered by Stellar Soroban",,,https://utoken.network/,https://github.com/Utokens/webapp,https://youtu.be/qNGoInIADSk,,,,,,,"Boyejo Oluwafemi, jomoflash, rayking1.",,https://www.linkedin.com/company/utoken-app,https://x.com/UtokenApp,,
PayQin,SCF #28,PayQin: Blockchain made simple,PayQin,Applications,,Awarded,,SCF Legacy Award,$50000.00,$50000.00,572560.61,7/10/2024,Legacy v5.0 Activation Award,,,,,,,,,,,,,,"Fabrice Amalaman, Patrick Ouraga",,https://www.linkedin.com/company/payqin/,https://twitter.com/PayQinn,,
Giveth,SCF #28,Giveth,Giveth,Applications,https://communityfund.stellar.org/dashboard/submissions/rechcT1UmtJlod9ec,Awarded,,SCF Legacy Award,$50000.00,$50000.00,470563.43,7/12/2024,Legacy v5.0 Activation Award,Bring Quadratic Funding and thousands of projects to Stellar by integrating Giveth.,,,,https://giveth.io,https://github.com/Giveth/giveth-dapps-v2,,,,,,,,"Griff Green, Jacob Schumacher, Mitch Ozmun, Marko Prljic, Mateo Daza, Freshelle May Tilanducae, Carlos Mario Quintero Parra",,,https://twitter.com/giveth,https://discord.giveth.io/,
Amero Exchange,SCF #28,AMERO-DeFi Collective Savings,Amero Exchange,Applications,https://communityfund.stellar.org/dashboard/submissions/recaF5bsiYHsjouqw,Awarded,,SCF Legacy Award,$48000.00,$48000.00,517041.92,6/21/2024,Legacy v5.0 Activation Award,Empoweringcollaborative savingsvia decentralized governance and transparent smart contracts on Stellar with Amero Platform.,"What the product is: Amero Collective Savings is a collaborative savings platform that leverages blockchain technology on the Stellar network. In Latin America, collective savings are a popular method of pooling resources among friends, family, and community members. Traditional banks offer similar products, but Amero provides a more innovative solution by using blockchain and smart contracts. This platform enables individuals, groups, and communities to pool resources, set savings goals, and achieve financial empowerment through transparent and decentralized processes. Our project aims to provide collective savings solutions for Latam by integrating with MoneyGram, users can easily deposit and withdraw funds in their local currencies, enhancing accessibility. Our VISA/Mastercard debit card offerings will allow users to spend their savings directly. By integrating with Stellar and Soroban, Amero ensures secure transactions, efficient fund management, and robust data analytics, delivering a comprehensive solution for collective savings.

Problems it solves, how it solves them, and audience benefits: Problems it solves: Traditional savings methods lack transparency, inclusivity, and efficient governance mechanisms. Many individuals and communities face barriers to accessing fair and secure savings options. There is often a lack of trust and accountability in traditional collective savings methods.

Solutions: Transparency and Trust: Amero Collective Savings utilizes smart contracts on the Stellar network to provide transparent governance. Every transaction and rule is recorded on the blockchain, ensuring trust and accountability. Inclusivity: The platform is accessible to individuals, families, small businesses, and community organizations, promoting financial inclusion. Efficiency: Automated processes and smart contracts streamline the management of deposits, payments, and fund distribution, reducing administrative overhead and errors.

Audience Benefits: Individuals: Can diversify savings portfolios, earn rewards for consistent saving behavior, and access seamless cash in/out processes. Families: Benefit from a secure and transparent way to save for shared goals. Small Businesses: Gain a reliable platform to manage collective savings for business expansion or operational costs.

How it works and Stellar/Soroban integration: Smart Contracts: Functionality: Amero’s smart contracts manage deposits, payments, transfers, risk scoring, and transparent governance. They ensure the fair distribution of funds based on user positions and contributions. Automation: Smart contracts automate the enforcement of rules and schedules, reducing the need for manual intervention and minimizing errors.

Stellar Integration: Secure Transactions: The platform uses Stellar's blockchain for secure and efficient transactions, ensuring the integrity of all financial activities. Asset Transfer: Stellar’s network facilitates the seamless transfer of assets, supporting the deposit and withdrawal processes. Decentralized Governance: Stellar’s decentralized architecture enhances the platform's governance mechanisms, allowing for community-driven decision-making. Scalability: Stellar’s scalable network ensures the platform can handle a growing number of users and transactions without compromising performance.

Soroban Integration: Data Analytics: Soroban enhances the platform’s data analytics capabilities, providing insights into user behavior and financial trends. Risk Assessment: Advanced algorithms assess user risk scores, helping to ensure the security and reliability of the collective savings process. Decision-Making: Soroban supports informed decision-making by providing accurate and real-time data analysis. Smart Contract Execution: Utilizes Soroban for executing our smart contracts, ensuring efficient and secure handling of funds. Data Security: Ensures user data and transactions are securely managed on the blockchain.

Amero Ecosystem: Cash In and Cash Out Network: Amero boasts the largest cash in and cash out network across Latin America, thanks to partnerships with industry leaders like MoneyGram, Unlimit, Transak, and more. Convenience: Users can conveniently withdraw and deposit funds at pharmacies, markets, banks, and a wide network of local businesses, all in the local currency of each country in Latam. Accessibility: The extensive network ensures that users, regardless of their location, have easy access to their funds, promoting financial inclusion.

User Commitment: Transparency and Trust: All transactions and contract states are transparent and auditable on the Stellar blockchain, building user trust. User Engagement: Regular updates and communication channels will be established to keep users informed and engaged.",,,https://amero.exchange,,https://youtu.be/NTI6UexTsMo,,,,,,,Osiris Rodriguez,,https://do.linkedin.com/company/ameroexchange,https://twitter.com/amero_exchange,,
Bebop,SCF #28,Bebop,Bebop,Applications,https://communityfund.stellar.org/dashboard/submissions/recisU9Kvy1ORE0BX,Awarded,,SCF Legacy Award,$36000.00,$36000.00,412243.64,7/10/2024,Legacy v5.0 Activation Award,Stablecoin finance for Africa's youth,"The post-COVID economic fallout left me and an estimated 500 million unbanked and underserved African youth vulnerable to inflation and currency devaluation. Our pursuit of this idea stemmed from personal experiences seeking ways to safeguard and grow wealth amidst economic volatility. Traditional financial solutions like mobile money and banks proved inadequate, leading us to explore alternatives.

Cryptocurrencies emerged as a potential remedy, but their complexity and the focus of platforms like Coinbase and MetaMask on card users excluded many. Despite digital transaction growth during the pandemic, challenges like high fees and fragmented infrastructure remained, making cross-border payments difficult—an issue still experienced by Richard and me, along with millions of African workers.

The pandemic underscored the limitations of mobile money, as services like Spotify and Netflix required cards, excluding many youth. A survey of 350 people showed high demand for these services among underserved youth. Observing these gaps, we leveraged our expertise in mobile payments and blockchain, and my cofounder's legal background, to create a solution. We identified blockchain, stablecoins, and innovative card distribution as key to addressing Africa's financial issues.

We assembled a team to tackle technical and regulatory challenges, aiming to empower millions of underserved African youth with access to financial services, wealth preservation, and global economic participation. Our solution is a stablecoin app that lets users open dollar accounts on their smartphones, bypassing traditional banking hurdles. Users get virtual and physical debit cards linked to their balance, enabling online and offline transactions. The app allows free, instant P2P transfers and offers savings, yield earning, and borrowing against savings, helping users preserve wealth amidst economic volatility.

The app also introduces users to cryptocurrency investment, simplifying the process while maintaining blockchain benefits. Our strategy focuses on Africa due to its unique financial landscape and the potential for transformative change through blockchain and stablecoin adoption. Africa's high internet and smartphone penetration support this integration, mirroring successes seen in regions like Latin America. Our goal is to foster financial inclusion and empowerment for Africa's youth, driving socio-economic transformation across the continent.

How we use Soroban:
- Connect to Blend Liquidity protocol to allow users to earn yield on their USDC
- Plan to create our own liquidity pool through Blend

Go To Market:
- Start with Kenya, leveraging high interest in Bitcoin as an investment, then funnel users to save and earn yield.
- Provide users with cards for payments.

Current Traction:
- App live on TestFlight
- Partnered with LINK, Fonbnk, Ramp, Moonpay, and Striga for card distribution
- Raising money",,,www.bebop.cash,,https://www.loom.com/share/8611d58dd03047b29959767822380ba2?sid=b3b6ab08-7dee-4710-a8ad-30059266ec29,,,,,,,Christopher Karani,,https://www.linkedin.com/company/bebopcash/posts/?feedView=all,https://x.com/bebopcash,,https://drive.google.com/file/d/1SLpnWkHRX3bxkPEIKqUh48M5LDnl0kx4/view?usp=sharing
Grip,SCF #28,Grip,Grip,Applications,https://communityfund.stellar.org/dashboard/submissions/rec2D9kaGTaA48vU9,Awarded,,SCF Legacy Award,$45285.00,$45285.00,496388.21,6/27/2024,Legacy v5.0 Activation Award,The financial control center that supercharges all your financial accounts and cards.,"Financial Wallets (""Pouches"")

To allow Grip users to be able to hold fiat in supported currencies, each currency has its own pouch (this supplements linking accounts directly). We extend this to enable stellar support by setting up custody wallets and muxed accounts under a pooled account, enabling users to hold and interact with assets like XLM and USDC on Stellar.

Problems Solved:
- Singular Interface for Fiat & Crypto: Simplifies user financial interaction.
- Cost Efficiency: Reduces overhead on users by avoiding individual account creation using multiplexed accounts.
- Asset Holding: Provides secure asset custody for users.

Benefits:
- Quick, secure access to Stellar assets for our users.
- Lower complexity and cost in account management for our users.

How It Works:
- Pooled Account with Muxed IDs: Uses a single base account with unique muxed IDs for user transactions.
- Trustlines: Establishes trustlines for various assets based on user requests.
- Stellar CAP-27: Implements multiplexed account management as per Stellar's CAP-27.

Card Payments

To allow Grip users to be able to make local and international payments with the multi-currency cards we issue to them. They can pay from their pouch balances or directly from their linked financial accounts (a sample of this is shown in the video). This integration will extend our card payment capabilities and enable users to link their stellar wallets on CEX, DEX, and on Grip to physical and virtual cards we issue for seamless payments using Stellar assets like XLM and USDC.

Problems Solved:
- Financial Interoperability: Connects traditional card payments with blockchain assets.
- Flexibility: Lets users switch payment methods within the app.
- Liquidity Management: Simplifies managing liquidity for transactions with Stellar assets.

Benefits:
- Cardholders can use blockchain assets for daily transactions effortlessly.
- Merchants can accept payments from users with Stellar assets, increasing their customer base.

How It Works:
- Wallet Integration: Stellar wallets set as payment options in the app.
- Real-Time Validation: Validates wallet balances for transaction authorization.
- Stellar Anchors: Uses Stellar Anchors for off-ramping transaction values to fiat.

Open Banking Service

Grip has an in-house open banking infrastructure that was built to extend our service provider coverage to be the most extensive in the market and to also allow for cost-effective transaction spooling, transaction initiation, and to easily enable other features and use cases we might need to support in the future. This feature would extend Grip's OB infra to include integrations with centralized and decentralized exchanges, enabling seamless on-chain and off-chain asset management.

Problems Solved:
- Liquidity Management: Simplifies managing liquidity across platforms.
- Financial Control: Centralizes control of finances, including on-chain transactions.
- Interoperability: Enhances connectivity between traditional finance and blockchain networks.

Benefits:
- Users: Manage financial assets across multiple platforms easily.
- Financial Institutions: Offer enhanced services by integrating traditional and blockchain finance.

How It Works:
- API Integrations: Connects with CEX and DEX providers using APIs.
- Transaction Management: Synchronizes transaction history and initiates transactions.
- Stellar Wallet Linking: Links Stellar wallets for seamless asset management.",,,https://trygrip.co,,https://youtu.be/_HcTOFxhWW8,,,,,,,Nelson Nelson-Atuonwu,,https://linkedin.com/in/trygripapp,https://twitter.com/trygripapp,,
