Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Sytemap,SCF #29,HouseAfrica’s Sytemap,Sytemap,Applications,https://communityfund.stellar.org/dashboard/submissions/recW5iwiFOUUejYvP,Awarded,,SCF Legacy Award,$35000.00,$35000.00,352040.78,8/12/2024,Legacy v5.0 Activation Award,Powering Africa's Landownership with Technology.,"Product: Sytemap Land Marketplace is a decentralized platform built on the Stellar blockchain that streamlines and simplifies African land ownership.

Problem: The African land market faces significant challenges, including:

Fraud: Hundreds of thousands of land scams occur annually, leading to financial loss and heartbreak.
Inefficiency: Traditional land acquisition processes are slow, paper-heavy, and often opaque.
Limited Access: Secure and transparent land ownership is difficult for many Africans, hindering economic development.

Solution: Sytemap Land Marketplace tackles these issues by:

Leveraging Blockchain: Land ownership records are stored immutably on the Stellar blockchain as NFTs, ensuring security and transparency.
Smart Contracts: Automated agreements manage the land purchase process, eliminating the need for paperwork and reducing fraud risk.
Streamlined Platform on Satellite Map: Users can browse verified land plots, reserve plots, complete transactions, and manage/monitor their ownership digitally and virtually.

Target Audience: Sytemap caters to:

Property Seekers: Africans looking for a secure and transparent way to purchase land.
Real Estate Developers/Government Agencies: Seeking a faster and more efficient way to sell their Land Projects.
DeFi Users: Investors interested in exploring new opportunities in the African land market. (coming soon)

Stellar Integration: Sytemap utilizes Stellar's core functionalities for secure and efficient transactions:

Issuing Custom Assets: Land plots are represented as NFT digital tokens (land tokens) on the Stellar network.
Fast and Low-Cost Transactions: Stellar's high-throughput and low-cost transactions facilitate swift and affordable land ownership transfers. (Coming Soon)

SEP Integrations:

SEP-1 and 30: Enables seamless asset/NFT creation for land tokens on the Stellar network.

Ecosystem Partners: Sytemap is exploring partnerships with:

Government Housing Agencies: Integration with national and regional land registries for further verification and data accuracy.
Real Estate Developers: Collaboration with real estate companies to offer a comprehensive land ownership experience.

Why Stellar? We chose Stellar for several reasons:

Scalability: Stellar can handle a high volume of transactions, which is crucial for the growing African land market.
Security: Stellar's robust consensus mechanism ensures the integrity of land ownership records.
Affordability: Low transaction fees make land ownership accessible to a broader audience in Africa.
Established Ecosystem: Stellar's existing network of partners and developers creates a supportive environment for growth.",,,https://sytemap.com,none,https://www.loom.com/share/dfe4cec38a2849819f7ee5fb5b485de1?sid=1b75dc37-91bf-4c78-acfd-faffcd99f152,,,,,,,"Nnamdi Uba, Ndifreke Ikokpu",,https://linkedin.com/company/sytemaphq,,,https://www.canva.com/design/DAGCo6CDI7Y/gMOXjt2glYQF6zud8MCxXQ/view?utm_content=DAGCo6CDI7Y&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hc98223ee12
POMA Protocol,SCF #29,POMA: Engage-to-earn platform,POMA Protocol,Applications,https://communityfund.stellar.org/dashboard/submissions/recsBXIcZ3R2EKzy0,Awarded,,SCF Legacy Award,$14000.00,$14000.00,143427.92,8/15/2024,Legacy v5.0 Activation Award,"POMA is a platform where developers receive a cashback through a smart contract, distributed based on their engagement",,,,,,,,,,,,,"Paolo Medici, Alessio",,https://www.linkedin.com/company/poma-protocol/,https://x.com/POMAprotocol,,
Globachain,SCF #29,Globachain Payment Ecosystem,Globachain,Applications,https://communityfund.stellar.org/dashboard/submissions/recuYdA4IXkFUtuLI,Awarded,,SCF Legacy Award,$49500.00,$49500.00,508398.85,8/14/2024,Legacy v5.0 Activation Award,On and off ramps for individuals and businesses; Merchant services and cross border payments for businesses; All on Stellar.,"GlobaChain is revolutionizing access to cryptocurrency in fragmented markets with our blockchain-powered payment ecosystem. Addressing the need for a seamless, low-cost on-ramp/off-ramp fiat and local currency exchange in emerging and established markets, our solution overcomes the barriers to cryptocurrency adoption and usage. Licensed as a VASP, GlobaChain facilitates secure, efficient transactions across the UK, Europe, and 16 African countries. Our aim is to onboard the next 100 million users into the crypto economy through our Dapp, offering significantly lower fees than conventional exchanges. By targeting fractionalized markets where payment systems are highly segmented, GlobaChain not only simplifies but also democratizes access to cryptocurrencies for users in underserved regions, making the digital economy truly global and inclusive.

Our suite of services provide alternatives to the familiar rigid traditional financial services, services including cross border payments, on-chain investments, staking/interest. We are the link between trad-fi and defi allowing our customers to swap on-chain digital assets for fiat currency, this is a crucial area within the disruptive world of blockchain and digital assets.

We have also built a merchant payments to enable in-store crypto collection, which is tailored to the Nigerian, Ghanaian, and South African Markets. In these markets it is very difficult to: A) Make payments easily due to the fragmented nature of the banking system B) Get access to foreign currencies due to the liquidity crisis C) Access low-cost payment services for merchants.

We will be servicing on and off ramps directly on Stellar, and utilizing the low-cost, fast deposit nature of the blockchain. We chose Stellar because it is a network optimized for payments. Being a PoA, the Stellar network is faster, cheaper, and far more energy-efficient than many other blockchains. Its core design makes it easy to create and issue digital assets that enable rapid payments at low-cost around the world.",,,www.globachain.com,https://github.com/Blocverse01/Globachain-DApp,https://drive.google.com/file/d/1tZsqSiVf4G_F18-2MFu2KqE6B4hLYyEu/view              https://www.loom.com/share/fbef09b59a5042f28aa0c094af327481?sid=37989402-0460-47ce-b014-5d8e05394424,,,,,,,Cairon Clarke,,https://www.linkedin.com/company/globachain,https://x.com/globachain,,https://docsend.com/view/2pdtc8n4b4q85f8v
EA Kazi,SCF #29,EA Kazi,EA Kazi,Applications,https://communityfund.stellar.org/dashboard/submissions/recFjl5hx6W6MpaKT,Awarded,,SCF Legacy Award,$36000.00,$36000.00,369744.61,8/14/2024,Legacy v5.0 Activation Award,EaKazi combines and decentralizes Udemy+Freelancer allowing easy access to freelancers with verifiable credentials.,"EA Kazi: Revolutionizing Freelance Certification and Recruitment

EA Kazi is a groundbreaking web3 NFT certificate platform designed to bridge the gap between training and employment. By integrating certification with lifelong royalties, EA Kazi ensures that trainers are incentivized to provide high-quality education, while trainees gain verifiable credentials that enhance their job prospects. Built on the Stellar blockchain using Soroban smart contracts, EA Kazi combines the best aspects of platforms like Udemy and Freelancer into a single, cohesive ecosystem. This innovative approach creates a seamless connection between learning and earning, fostering a community of skilled professionals and reputable trainers.

The Problem:
In the current digital economy, the demand for verifiable skills and experienced freelancers is higher than ever. However, several challenges persist: Lack of Verifiable Credentials: Many online courses provide certificates that are easily forged or lack credibility, making it difficult for employers to trust the qualifications of potential hires. Trainer Incentives: Trainers often receive one-time payments for their courses, which disincentivizes them from continually updating and improving their content. Fragmented Platforms: Freelancers must navigate multiple platforms for training and job opportunities, leading to inefficiencies and missed opportunities.

EA Kazi’s Solution:
EA Kazi addresses these challenges by offering a unified platform where training, certification, and job opportunities coexist seamlessly: NFT Certificates: Upon completing a course, trainees receive NFT certificates stored on the Stellar blockchain. These certificates are immutable and easily verifiable by potential employers, ensuring the credibility of the trainee's skills. Lifelong Royalties for Trainers: Trainers earn royalties from the projects trainees complete using their certifications. This continuous revenue stream incentivizes trainers to maintain high-quality, relevant content. Integrated Ecosystem: EA Kazi combines training, certification, and job opportunities on one platform. Trainees can easily transition from learning to earning, while recruiters can access a pool of verified, skilled freelancers.

User Dashboards:
Freelancer/Trainee Dashboard: Displays available courses, job opportunities, and payment information. Trainees can track their certifications and apply for jobs directly through the platform. Recruiter Dashboard: Enables recruiters to post job opportunities and review applications from certified freelancers. Recruiters can easily verify the credentials of applicants, streamlining the hiring process. Trainer Dashboard: Allows trainers to list courses, track their trainees, and view their royalty earnings. Trainers can see the impact of their courses and adjust content based on trainee success.

Integration with Stellar and Soroban Smart Contracts:
EA Kazi leverages the Stellar blockchain and Soroban smart contracts to ensure a secure, efficient, and transparent platform. Here's how it integrates: NFT Creation and Management: Soroban smart contracts handle the creation, issuance, and management of NFT certificates. These contracts ensure that each certificate is unique, verifiable, and immutable. Royalty Distribution: Soroban smart contracts automate the distribution of royalties to trainers. Every time a trainee secures and completes a project using their NFT certificate, the smart contract ensures that the trainer receives their rightful share. Secure Transactions: Stellar’s blockchain provides fast, low-cost transactions, making it ideal for managing payments between trainees, trainers, and recruiters. This efficiency ensures that all stakeholders receive their payments promptly and without unnecessary fees.

Conclusively, EA Kazi represents a significant advancement in the integration of training and employment within the digital economy. By leveraging the power of Stellar and Soroban smart contracts, EA Kazi ensures that every stakeholder benefits from a transparent, secure, and efficient system. Trainers are incentivized to provide the best possible education, trainees gain verifiable and valuable credentials, and recruiters can trust the skills of the freelancers they hire. This holistic approach addresses critical gaps in the current landscape and paves the way for a more connected and credible freelance economy.",,,https://biotlabs.africa/projects/ea-kazi/,https://github.com/Grants-Projects/EA_KAZI_backend_ic,https://www.youtube.com/watch?v=OIOOjNvAh3Q,,,,,,,Adedayo Adebajo,,,,,
Lul-Serving the unbanked,SCF #29,Lul-Serving the unbanked,,Applications,https://communityfund.stellar.org/dashboard/submissions/rectWILIUqnvfGvTK,Awarded,,SCF Legacy Award,$20500.00,$20500.00,210019.46,8/15/2024,Legacy v5.0 Activation Award,"Enabling financial inclusion for refugees and the unbanked in Africa with Remittance,ROSCA, Virtual cards, and other service.","Our app aids financially underserved refugees and unbanked individuals in sub-Saharan Africa. Many Africans lack adequate banking. For example, 350 Million people are unbanked in Sub-Saharan Africa. Also, millions of refugees don’t have financial access. Refugees often encounter hurdles accessing traditional banking due to language barriers, documentation challenges, and unfamiliarity with other financial options.

Our app, utilizing Stellar, tackles these issues by providing vital services like remittance, digital wallets, payments, crowdfunding, rotating savings and credit associations, and virtual cards. These solutions are crafted to offer refugees and unbanked individuals secure and affordable access to financial services, bolstering their financial inclusion and stability.

Remittance & Payment

Problem: In Sub-Saharan Africa, refugees and locals heavily rely on remittances from developed countries, facing high costs from existing providers—around 8% or more, including unfavorable exchange rates. Many resort to expensive Hawala networks for cross-border payments due to limited banking access.

Solution: Our system facilitates fast, secure remittance primarily for refugees and unbanked populations across 21 African countries. We leverage USDC transactions, establishing our own on/off-ramp system of agents and partnering with Stellar Network Anchors where necessary. USSD functionality ensures swift, secure payments for users without reliable internet access.

How it works with Stellar: Senders and receivers will get Stellar wallets where they will be able to send and receive money, by depositing and sending in USDC. Once the beneficiary receives the amount in her wallet, she can easily cash out the funds using our on/off ramp. This will make the remittance delivery cheap and fast.

Saving

Problem: Our target audience commonly resorts to holding their savings in cash, posing security risks, especially for refugees and low-income persons in crowded accommodations. There's a pressing need for a secure money storage solution. Moreover, local currency inflation exacerbates the risks of prolonged cash holding.

Solution: Our app enables users to securely deposit and save cash in USDC, safeguarding against inflation and theft. Developed in native languages it ensures accessibility. We'll establish a proprietary on/off ramp system, leveraging local businesses and our agent network for convenient cash-out.

How it works with Stellar: Integrating with Stellar wallets allows users to easily deposit funds in USDC, enabling secure savings and protection against inflation.

Communal Funding

Problem: In African societies, a strong tradition of community support exists, aiding those in need with expenses like hospital bills and funeral costs. However, online crowdfunding poses challenges for our target audience, including high processing fees and difficulty in delivering funds to beneficiaries without access to financial institutions.

Solution: Leveraging our system, users can securely and affordably transfer funds to designated beneficiaries. Upon reaching the predetermined funding threshold, beneficiaries can promptly cash the much-needed funds via our off-ramp system.

How it works with Stellar: We will designate wallets for such collections, allowing the beneficiary herself to access these funds, streamlining the collection processes, making it easy and efficient. Additionally, cashing out will be easy.

Rotating Savings and Credit Associations

Problem: Rotating Savings and Credit Associations (ROSCAs) are highly popular in African societies, where members regularly contribute a fixed amount to a communal fund. Each member then takes turns receiving the total pooled amount, providing access to a lump sum. This mechanism is particularly beneficial for unbanked individuals. However, there is currently no secure method to facilitate ROSCAs for groups spread across different localities, which is common for refugees dispersed in various countries.

Solution: We will enable people to create wallets on our app and once they subscribe to a group for ROSCA, payment will be made from their wallet to the common wallet. And when all the members of the group accept, the funds will be transferred to the beneficiary wallet.

How it works with Stellar: We will designate wallets specifically for such collections, allowing ROSCA groups easy collection and disbursement.

Virtual Card

Problem: Majority of Sub-Saharans don’t have access to card payment, blocking them out of the international financial system. They can't purchase online causing many difficulties.

Solution: We will enable people to create and fund virtual cards from their Stellar wallet by partnering with third-party card issuing companies. Through this way, people could easily access international payments by paying in their local currency.

How it works with Stellar: We will integrate Stellar wallets with the third-party companies to seamlessly transfer funds from wallets to virtual cards.",,,https://lulpay.com/,https://github.com/lulpay/mainproject,https://youtu.be/I1HdReH4QaY,,,,,,,Zerayacob,,https://www.linkedin.com/in/zerayacob-a-tedla-1abb64b9/,,https://discord.gg/rC4jqHmA,https://drive.google.com/file/d/1SLRKI_Q0KiIEo00DG9x3H1ozBFqmaFGD/view?usp=sharing
SoroStarter,SCF #29,SoroStarter: Soroban LaunchPad,SoroStarter,Applications,https://communityfund.stellar.org/dashboard/submissions/recHIlOHhT0rMNGUN,Awarded,,SCF Legacy Award,$47175.00,$47175.00,520455.24,8/6/2024,Legacy v5.0 Activation Award,A secured and decentralized IDO and fundraising platform for Soroban and the Stellar ecosystem.,"SoroStarter is a secured and decentralized IDO and fundraising platform designed for the Soroban blockchain and the Stellar ecosystem. Its primary goal is to provide projects and companies building on Soroban and the Stellar ecosystem with a secure and decentralized infrastructure for launching and raising funds. This is achieved through its token pool IDO, token sale, and incubation protocol. Additionally, SoroStarter assists these projects and companies in significantly growing their communities and expanding their projects' reach and adoption through an incentivized community engagement mechanism. Furthermore, SoroStarter enables end-users—both investors and the Stellar Lumen community as a whole—to gain secure early access to quality, well-vetted IDOs and token sales of projects on Soroban.

The products of SoroStarter encompass its two main features:

SoroStarter’s IDO/Sale Protocol: A secure and decentralized IDO and fundraising protocol which operates on Soroban, facilitating seamless participation of users, investors, and community members in IDOs on the Soroban blockchain. Based on preset IDO/sales parameters, the protocol algorithmically manages allocation, access, token unlocking and distribution, refunds, and the release of raised funds post-sale.

SoroStarter's IDO Selection and Onboarding Mechanism: An efficient vetting and selection process which is used to evaluate projects listed on SoroStarter for IDO or token sale opportunities. At its core is an online governance voting mechanism on Soroban, enabling members of the Stellar Lumen community to vote on projects to be listed on SoroStarter for a launch.

A critical requirement in any blockchain ecosystem with smart contract capabilities is the ability for dApps and projects to deploy easily and establish their own independent economies. Many of these economies depend on utility tokens specific to their ecosystem. For example, consider a GameFi or play-to-earn project, which often relies on NFTs for player access and an in-game token for rewards and purchases. These projects need a reliable, decentralized, and secure method to launch their tokens and ecosystem assets. By providing this capability, more projects with independent economies and value-driven ecosystems can be launched. This attracts a larger user base to the project's community, thereby expanding the blockchain ecosystem as a whole. SoroStarter addresses these needs on Soroban and Stellar Lumen by offering a dependable, decentralized, and secure platform for projects building on Soroban to launch tokens and raise funds. This contributes to the overall adoption and growth of the ecosystem.

SoroStarter's core features, mechanisms, and protocols are built and deployed on Soroban, the Stellar's native smart contract platform. It leverages Soroban's robust capabilities for smart contracts and transaction processing. Our governance mechanism and IDO/Sale protocol smart contracts are developed and deployed on Soroban, ensuring transparency, security, and efficiency in project selection and fundraising processes. Additionally, we utilize the Stellar SDK to seamlessly integrate these Soroban contracts with our application's user interfaces. This integration enhances user experience and improves usability.

Some of our deployments and integrations can be seen on SoroStarter's MVP currently deployed on Futurenet. Here are the important links:

Token Sale dApp (MVP)
Project Voting dApp (MVP)
Governance Staking dApp
IDO/Sales Contract
Governance/Voting Contract",,,https://www.sorostarter.com/,https://github.com/orgs/SoroStarter/repositories,https://www.youtube.com/watch?v=HqvnP30uaa4,,,,,,,Allaa Alhasan,,,https://x.com/SoroStarter,,
Unalivio,SCF #29,USDC payments for LatAm stores,Unalivio,Applications,https://communityfund.stellar.org/dashboard/submissions/rec4s8vcXcD1RHTSl,Awarded,,SCF Legacy Award,$49300.00,$49300.00,519001.45,8/7/2024,Legacy v5.0 Community Award,"Making online sales is hard for many retailers in LatAm. With Unalivio, merchants can perform digital sales and get paid in USDC","Unalivio is an online payments tool for brick-and-mortar retailers, and a cross border payments system. Unalivio pays out in USDC because it is specifically made for LatAm. Unalivio allows users to pay for goods for their family abroad in a direct transaction to the merchant, instead of sending money that needs to be picked up. With Unalivio, users create a ticket that can be shared and paid from around the world. The payer uses local currency through a cash-in partner, or crypto. Once the payment is verified, the system notifies all parties involved and transfers USDC to the vendor account. To complete the loop, vendors review transactions, administrative details and withdraw funds as USDC on Stellar.

Not long ago, I received a worrisome phone call from my friend Luis in Dubai. He intended to pay $2,000 USD for his father’s surgery in Venezuela, but his Zelle was blocked when he attempted to make the transfer! The bank blocked the transaction because it decided this was an unauthorized use, even though everything was ready! The doctor, hospital, nurses, and of course his father!! Because they were in a part of the world that is not connected to the USD financial system, they had to go through time consuming hurdles in order to use their own money in a life-or-death situation. He called me because he remembered what we are building with Unalivio, and within minutes we did the cash in, created an account for the doctor’s office and let them receive confirmation of funds. Thankfully Luis’ dad is ok, and we got reassurance of WHY we are building these solutions.

Each year 138 Billion Dollars are sent to LatAm; and in Venezuela, our sandbox market, 7 million migrants sent 4.5 Billion Dollars in remittances in 2023. And for traditional retailers, making online transactions is hard, and making cross border transactions is almost impossible!

At the core of our system, we use USDC on Stellar to move funds around Latam with this stablecoin. We collect funds from around LatAm with our network of Stellar anchor, Crypto payment cash in, and other payment rails, convert them into USDC and pay our affiliated merchants on USDC. We also expand Stellar's use case by enabling cash-in payments with USDC on Stellar at hundreds of locations, creating a tool that is both valuable and sustainable real-world problem-solving.

To grow and incentivize usage, we are implementing a counter system to measure and analyze incentives. As part of our launch we tested discounts and cashbacks for payments. We will be launching direct integration into wallets as our pilot integration into Beans App, because we want to incentivize the thousands of users they have with Venezuelan ties in order to promote Stellar payments exclusively.",,,www.unalivio.com,https://github.com/ernestocontrer/SFC-15Tracker,https://youtu.be/Fm5vGiLpR7s,,,,,,,"Ernesto Contreras , fabians19, Yenderlhy Zapata ",,,https://x.com/somosunalivio,,
THE HUB Citizens Portal,SCF #29,THE HUB Citizens Portal,THE HUB Citizens Portal,Applications,https://communityfund.stellar.org/dashboard/submissions/recQFye9LGFqAXQWh,Awarded,,SCF Legacy Award,$46500.00,$46500.00,510330.06,9/5/2024,Legacy v5.0 Activation Award,Deploy THE HUB Citizens Portal (interoperable avatar generation platform) on Stellar.,"The goal for the project is to develop a platform that integrates Stellar's blockchain capabilities, VIIO's users (Latam provider of on and off ramping services), and THE HUB Portal: A Web3 platform to upload, deploy and manage Interoperable 3D User-Generated Content. This ecosystem aims to provide Latin Americans with a personalized financial experience, allowing them to keep up with the new wave of adoption of the 3D internet.

THE HUB

The HUB is the home of virtual creators, offering a platform called Citizens Portal to upload, deploy, and manage Interoperable 3D User-Generated Content (UGC). Our goal is to empower creators to fully unleash their creativity. By leveraging tokenization, we add verifiable ownership and open up new monetization opportunities for our Citizens.

VIIO

VIIO is building a financial ecosystem transforming the financial landscape for Latin Americans, starting with Colombia. We provide a global account to maintain USDC, enabling our users to save, spend, and hedge against currency devaluation. The deployment of the application will focus on doing an activation campaign specifically aimed at the Latin American Community of VIIO. The app will allow VIIO users and other Stellar community members to mint a randomised, interoperable 3D avatars from a collection of 5000 characters, which will allow them to get to know the Stellar community and its ecosystem in a gamified way. It will be structured in the following way:

Launch the Stellar Citizens and THE HUB Citizens Portal for all VIIO users and Stellar community members, enabling users to create and manage their digital avatars, which will be minted as NFTs on the Stellar blockchain using Soroban.

Promote VIIO and the Stellar avatars in Latin America through a marketing and engagement campaign, emphasising the benefits of saving in US dollars, the security features of VIIO, and the uniqueness of having a digital avatar as well as using the Stellar blockchain.

Benefits for Stellar: The platform will serve as a public good for the Stellar ecosystem by providing a tool focused on the interoperability and standardization of uploading, deploying, and managing all future 3D collections on-chain. It utilizes the VRM interoperability standard for the creation, customization, and management of avatars, characters, and vehicles. This standardization facilitates seamless integration and interaction across different virtual environments, platforms and games, thereby enhancing the standardization at the metadata level of such NFTs while making them fully interoperable. The platform is designed with an administrator and editor mode, both available to the entire Stellar developer community. The administrator mode enables content creators to generate and deploy their own 3D campaigns. It also allows campaign creators to add items, wearables, and other assets to existing collections, enhancing the possibilities for customization and monetization of 3D NFT campaigns. Additionally, the editor mode enables owners of NFTs from a collection to edit their avatars, characters, or vehicles.

Architecture

Avatar Stellar Asset Issuance

Asset Issuer Account: A dedicated issuer account will be responsible for creating these unique avatar assets

Custom Asset: Each avatar will be represented as a unique asset on Stellar.

IPFS Integration:

IPFS will store immutable metadata for each avatar. Each avatar asset on Stellar will reference its corresponding metadata on IPFS, through an attached memo to the issuance transaction.

Wearables Database (Wearables DB):

Media Storage: This database will store VRM files and other media data related to avatar customization

URL Exposure: Media items will be accessible via URLs, allowing easy integration with the Avatar Module and Metadata Service.

Avatar Database (Avatar DB):

Avatar Data Management: This database will store data specific to each Stellar avatar asset, such as current wearables and customization options.

Metadata Service:

Metadata Service: is meant to manage the whole metadata logic for avatar NFTs, interacting with IPFS, Avatar Contract, Avatar DB, Wearables DB and UI

Avatar Module:

Avatar Module is the app the final user is supposed to interact with to manage their own avatars

MVP: https://avatar-generator-git-dev-dap-frontend.vercel.app/thehub",,,https://www.thehubdao.xyz/,https://github.com/thehubdao,https://www.youtube.com/watch?v=MHzZAvPuh7s,,,,,,,"Camilo, metafidegen ",,https://www.linkedin.com/company/the-hub-dao/,https://twitter.com/thehub_dao,,
BorderDollar,SCF #29,BorderDollar - Invoice Finance,BorderDollar,Applications,https://communityfund.stellar.org/dashboard/submissions/recDTKZEE2PaegFTc,Awarded,,SCF Legacy Award,$95000.00,$95000.00,1000104.22,8/7/2024,Legacy v5.0 Community Award,BorderDollar provides investors with opportunities to invest in real-world assets through SME cross-border trade invoice financing,"BorderDollar provides investors with opportunities to invest in real-world assets through SME cross-border trade invoice financing. The trade finance gap is $2.5T worldwide, and we are focusing on the maritime industry in SEA which represents a $500B gap with annual growth of 9.6% (https://www.adb.org/publications/2023-trade-finance-gaps-growth).

These SMEs are underserved by the traditional financial institutions, experience tight cashflow, and inefficiencies in the supply chain. These SMEs face tight cashflow problems because they have short-term needs for the money, but customers will only pay them after anywhere between 30-90 days. With invoice financing / freight factoring, these SMEs get upfront funding thus freeing them for important things such as paying their employees on time, rent, etc.

The BorderDollar platform involves two stakeholders: investors, and businesses.

Investor-facing platform: Investors refer to individuals who want to finance invoices in exchange for a certain amount of returns, i.e. between 8-14% APR. Here on the investor-facing side, investors connect their wallets, choose a liquidity pool/campaign to fund, and how much they want to fund. Our value proposition to investors is that they are investing in an underserved, neglected, and most importantly orthogonal to regular assets. We appeal to non-degens who wish to make a difference for underbanked SMEs and prefer stable regularly timed returns over staking-type projects with short-lived high returns.

Business-facing platform: SMEs which require cash will upload their invoices, and we will assess these invoices internally before putting them up for funding by funders. On this end of the platform, businesses undergo KYC. They will then receive 70-80% of their invoices' value in fiat using an off-ramp service. For example, when we onboard SMEs from the Philippines, we can use Moneygram for money transfers from the liquidity pool to fiat because of their collaboration with Circle and Stellar (https://www.moneygram.com/intl/stellarwallets).

These invoices will initially be assessed manually through SME owner interviews and due diligence, along with our risk scorecard. In the future, we will integrate machine learning for automated risk assessments for scalability.

For more technical information, please refer to the technical architecture document below.",,,https://border-dollar-app.vercel.app,https://github.com/BorderDollar/BorderDollarApp,,,,,,,,Jackie Tan,,https://www.linkedin.com/in/jackietanyen,,,
Copperx - Gateway and Payout,SCF #29,Copperx - Gateway and Payout,Copperx - Gateway and Payout,Applications,https://communityfund.stellar.org/dashboard/submissions/rec02RUwR3wO7gsH3,Awarded,,SCF Legacy Award,$50000.00,$50000.00,512242.59,8/15/2024,Legacy v5.0 Activation Award,We’re building next-gen financial tools for businesses and consumers to help accept and manage payments using stablecoins.,"Copperx Gateway: Copperx Gateway is an inbound payment solution for receiving crypto payments from thousands of customers. It offers no-code tools such as invoices, payment links, and developer APIs to integrate payments into various products.

Copperx Payout: Copperx Payout is a pioneering global payout solution designed specifically for Web3 businesses. It enables seamless, efficient, and compliant transactions to employees, contractors, and vendors in over 50 countries.

Problem We Solve: Web3 businesses are struggling to move between crypto and fiat, and to pay salaries to their global teams or vendors. They can't even get a bank account due to current regulations. Web3 companies have to set up multiple entities for fund movement, which we can avoid if we solve global payouts.

Integration on Stellar: We are developing contracts for accepting payments and facilitating offramps via international remittances. Our partnerships with Bridge, Circle, and regional offramp providers ensure minimal cost crypto-to-fiat conversions. As more companies join Stellar, we can be a one-stop solution for all their financial tooling needs. Additionally, we can leverage Stellar’s Moneygram rail to power last-mile offramps to our current users, making our solutions even more comprehensive and efficient.",,,https://copperx.io,https://github.com/copperxhq,https://www.loom.com/share/4883ad780d044d42b6b8ff48ea491c71?sid=ece2fb15-0671-4e46-a5ec-94e45b9fd080,,,,,,,Dalpat Prajapati,,https://www.linkedin.com/company/copperx/,https://twitter.com/CopperxHQ,,
