Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
AuraPay,SCF #23,Aura | A Stellar EURC on-ramp II,AuraPay,Applications,https://communityfund.stellar.org/dashboard/submissions/recziPrVKcJ52HPDT,Awarded,,SCF Legacy Award,$84000.00,$84000.00,774829.1,2/5/2024,Legacy v5.0 Community Award,A licensed Fintech company in Europe building infrastructure to allow Latin Americans to send money back home.,,,,https://somosaurapay.com/,,https://www.youtube.com/watch?v=Q0o4YjnfFv0&feature=youtu.be,,,,,,,Sebastian Barrera,,,,,
PAYGO Crypto,SCF #23,PAYGOCrypto - Stellar,PAYGO Crypto,Applications,https://communityfund.stellar.org/dashboard/submissions/reckZmrJK4MDVG3lE,Awarded,,SCF Legacy Award,$16700.00,$16700.00,145369.1,1/30/2024,Legacy v5.0 Activation Award,"Empowering PAYGO distributors, the platform removes barriers for the unbanked. Aids both small and large-scale businesses",,,,https://app.paygocrypto.io,,https://www.youtube.com/watch?v=VUnfAZBa1oM,,,,,,,Precious Roy Nyenke,,,,,
Nobak,SCF #23,Nobak: Custodial Wallet Signer,Nobak,Applications,https://communityfund.stellar.org/dashboard/submissions/recsBO1vLdYFZMucB,Awarded,,SCF Legacy Award,$34500.00,$34500.00,309913.45,1/24/2024,Legacy v5.0 Activation Award,"Dive into Soroban's universe on Stellar, where the digital realm becomes your playground",,,,https://nobak.net,https://github.com/nobak-net/nobak-mobile,https://vimeo.com/902500425,,,,,,,"Julian Clatro, Jeronimo Lanza",,,,https://discord.com/invite/GR5cB3y2,
Gladius,SCF #23,"Gladius: play, learn, earn",Gladius,Applications,https://communityfund.stellar.org/dashboard/submissions/recfsyLeAtOamI3vm,Awarded,,SCF Legacy Award,$45000.00,$45000.00,391713.09,1/30/2024,Legacy v5.0 Activation Award,"Gladius gamifies education, connecting parents, sports clubs, and students with NFT prizes and rewards",,,,https://gladiusclub.com/,https://github.com/orgs/GladiusClub/repositories,https://www.loom.com/share/768990a8fadb45e497967b69232c5332,,,,,,,"Alexey Sirotkin, dcromp",,,,,
Tauvlo,SCF #23,Tauvlo,Tauvlo,Applications,https://communityfund.stellar.org/dashboard/submissions/recfgOVFwu6cukrrT,Awarded,,SCF Legacy Award,$45000.00,$45000.00,419646.9,2/7/2024,Legacy v5.0 Activation Award,Tauvlo is a tokenized real estate investment marketplace that makes investing in real estate accessible for everyone.,,,,,,,,,,,,,"TokenWay, Marek Hauzr, Michael Levi, Guillermo Alda",,,,,
Dropzey,SCF #23,Dropzey,Dropzey,Applications,https://communityfund.stellar.org/dashboard/submissions/recERxnKE8etaSrMs,Awarded,,SCF Legacy Award,$38500.00,$38500.00,335132.31,1/30/2024,Legacy v5.0 Activation Award,"Decentralized Airdrop Hub on Stellar Network.Create, manage, and participate in airdrops, with transparency and efficiency.",,,,https://dropzey.com/,https://github.com/zainh332/dropzey,https://www.youtube.com/watch?v=02n5_1r5tMM,,,,,,,Syed Zain Haider,,,https://twitter.com/i/flow/login?redirect_after_login=%2Fdropzeyofficial,,
Stellarchain.io,SCF #23,Soroban Contract Auditor,Stellarchain.io,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recKACcbgfiocc06L,Awarded,,SCF Legacy Award,$100000.00,$100000.00,881593.2,2/14/2024,Legacy v5.0 Community Award,"Seamlessly audit and analyze Stellar smart contracts with Soroban, our powerful integrated tool on Stellarchain.io",,,,https://testnet.stellarchain.io/contracts,,https://www.youtube.com/watch?v=WTRK21GKkAc,,,,,,,"Fedot Sereoja, Florin Mangu",,,,,
Constellation Protocol,SCF #23,Constellation Protocol,Constellation Protocol,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recL80NY0OnJCAbHG,Awarded,,SCF Legacy Award,$100000.00,$100000.00,861015.0,2/15/2024,Legacy v5.0 Community Award,Constellation Protocol gives anyone the ability to create and manage tokenized index funds on Soroban.,,,,https://github.com/constellation-protocol/constellation-protocol,https://github.com/constellation-protocol/constellation-protocol,https://www.loom.com/share/9f55cbc3eace4d24b889dba06835a5d2?sid=9b1d0539-171e-4c64-9c1f-5c68b083e28c,,,,,,,"Edward Kim, Ignacio Garcia Leon",,,,,
Skeeper - a keeper platform,SCF #23,Skeeper - a keeper platform,Skeeper - a keeper platform,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recx1FddyJA3dibUN,Awarded,,SCF Legacy Award,$37500.00,$37500.00,326427.6,1/30/2024,Legacy v5.0 Activation Award,Skeeper provides smart-contract execution and automation tools and infrastructure for the Soroban ecosystem,,,,https://skeeper.xyz,,https://youtu.be/-6oxt2YZGR8,,,,,,,"Ilia Darsavelidze, libratus ",,,,,
SoroSplits,SCF #23,SoroSplits II,SoroSplits,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/receJWYlwJJb00Wrh,Awarded,,SCF Legacy Award,$94000.00,$94000.00,851360.6,2/13/2024,Legacy v5.0 Community Award,An open-source smart contract that enables the Stellar community to split on-chain payments in a trustless manner.,,,,https://www.sorosplits.xyz/,https://github.com/findolor/sorosplits-contracts,https://drive.google.com/file/d/1-_O_PoJ3UqjfhqTy3iv_tTNEGeovZafB/view?usp=sharing,,,,,,,"Arda Nakisci, Ignacio Garcia Leon, Michal Fiuk",,,,,
