Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Perun State Channels,SCF #17,Perun State Channels,Perun State Channels,Applications,https://communityfund.stellar.org/dashboard/submissions/recka4IUGyCSpMaKW,Awarded,,Legacy Award v4.0 (90%),$84800.00,$84800.00,558415.07,7/28/2023,Legacy v4.0 Award,We extend Perun State Channels for developers in the Stellar ecosystem so they can utilize off-chain payments and more.,"This proposal aims to integrate Perun Channels with Stellar. This will, in the first phase, foster fast and secure payment settlement on Stellar. The resulting payment toolkit can be used by developers within the Stellar ecosystem. In a future proposal, these payment channels can be extended to State Channels or other functionalities such as cross-chain swaps (see Outlook).

Perun Channel technology enables fast and cheap transactions on and across blockchains. The technology is based on peer-reviewed research that has been published at top conferences and is being implemented in the form of the open-source library go-perun written in Go. One of its main features is its blockchain-agnostic design, which means that most parts of the library do not depend on a concrete blockchain implementation, but are rather implemented against abstract blockchain backend components. Currently, we have backends for Ethereum, Cosmos, Polkadot, Cardano and Hyperledger Fabric.

We propose to adapt the go-perun framework so that two-party single-asset payment channels between users on Stellar can be created, processed, closed and disputed. We propose to release this work open-source under the Apache 2.0 license.

We currently focus on two-party single-asset payment channels between users on the same Stellar chain. For the future, we consider adding state channel functionality, multi-asset support, multi-party support, and cross-chain functionality for establishing channels between Stellar and all other chains supported by Perun.",,,https://perun.network,https://github.com/hyperledger-labs/go-perun,https://youtu.be/hUHEiVOBeCw,,,,,,,"Hendrik Amler, Hendrik Amler ",,https://www.linkedin.com/company/perun-network/,https://twitter.com/PolyCrypt_,https://discord.com/channels/897514728459468821/1082054199187083264/threads/1129011157789851748,
Ripe,SCF #17,Stellar USDC to GCash off-ramp,Ripe,Applications,https://communityfund.stellar.org/dashboard/submissions/reczm3NWCRztmpQAK,Awarded,,Legacy Award v4.0 (90%),$100000.00,$100000.00,742657.94,8/4/2023,Legacy v4.0 Award,"We offer Filipinos a way to cash out crypto right to their favorite mobile e-wallet, without hassle, multiple apps, or high fees","We're building an anchor to off-ramp Stellar USDC directly into GCash, the most popular e-wallet in the Philippines. Cross-border remittance is notorious for high fees and inconvenience. Exacerbating the problem is the fact that recipients are often poor, underbanked, and are the least able to afford the fees and the time to deal with money agents. Crypto shows promise by removing some of the fees. Stellar's integration with Moneygram is another step in making crypto more usable for remittance. We believe there's a further opportunity to improve usability by off-ramping directly into a recipient's mobile e-wallet, and that's what we're building for this project.

Mobile money has existed for more than a decade, with M-PESA in Kenya being the first practical and well-known deployment. The idea has evolved, and mobile e-wallets such as Alipay in China and UPI in India have shown mobile money's new power given the recent ubiquity of smartphones. Many countries, such as the Philippines, have learned from China and India and have developed their local versions. During the COVID lockdown, the adoption of these mobile e-wallets exploded as everyone needed an alternative to physical cash. We see this as an opening to provide digital services to the unbanked that were previously stuck with the limitations of the cash economy. Cheap and convenient cross-border remittance is the next natural step to build for e-wallet users.

We’re building the anchor around the SEP-24 standard, so it will be compatible with all standard Stellar wallets. We plan to use Beans as the reference wallet as we have had the founder as our mentor during the SCF Startup Camp. Specifically, we plan to use Stellar's Anchor Platform for Hosted Deposits and Withdrawals to ensure standards compliance. On the other side, we're working with GCash to integrate the payment function to deposit Philippine pesos into a user's e-wallet. From a user's point of view, within a Stellar wallet such as Beans, when choosing to cash out into Philippine pesos, we will show up as one of the options. After choosing us, if it's the first time the user uses Ripe, she'll be asked to provide her KYC and GCash account information. This naturally includes a phone number (which is how one identifies a GCash account), and we'll send an OTP to ensure the user's association with the phone number. Afterward, and in subsequent visits, she will simply be asked to enter the amount to cash out. Our service will clearly show the exchange rate and any associated fees.",,,https://ripe.money/,,https://www.loom.com/share/90953a5aeff94595bdec3c1b365925eb,,,,,,,"Chuck Lam, Sam Silver",,https://www.linkedin.com/company/ripemoney/,https://twitter.com/RipePayments,,
Mojoflower,SCF #17,Bloom and Petal,Mojoflower,Applications,https://communityfund.stellar.org/dashboard/submissions/rec5zyGnVx1mUR50F,Awarded,,Legacy Award v4.0 (90%),$100000.00,$100000.00,832696.75,8/24/2023,Legacy v4.0 Award,Bloom - Entity assembly with Soroban-smart contracts & Petal decentralized document signing service. ,"We want to launch two services using Soroban - smart contracts. Bloom is a smart-contract suite for on-chain entity assembly. By using Soroban smart contracts, we aim to provide a more efficient, transparent, and streamlined solution for building on-chain entities. The main smart contract we are building will act as the on-chain entity, handle all asset issuance logic, and be capable of interacting with other smart contracts and creating assets with different properties, visible on-chain, including all asset types available in tradFi today plus all others that can be created via smart contracts. This will allow companies to have more control and clarity over their on-chain entities (and assets) and greater flexibility in the functions and processes they execute, bringing them closer to a DAO-like governance than is currently possible in Stellar classic. This will also make Mojoflower-created entities less dependent on a centralized company (like Mojoflower) for handling their assets.

Petal is a decentralized document signing service that stores signatures and document/contract receipts as an enhanced ERC721 smart contract on EVM equivalent chains and L2s (Arbitrum/Polygon). The flow is: 1. A user connects using a wallet of their choice. 2. Uploads documents to IPFS and inputs which entities to gather signatures from and optionally how to send them a notification of where to view and sign said document. 3. The possible signees view the document and choose whether to sign or reject. When they have chosen their action, the signature for that action is requested from their wallet and stored on-chain with the NFT representing the document in question. We want to build a Soroban version of the document signing service plus add Stellar wallet signing capabilities. Currently, there is no document signing service, that we know of, that allows users to send documents via Stellar in a decentralized way and users cannot use their Stellar wallets to sign documents.",,,app.mojoflower.io,,https://vimeo.com/795640348/80b56ebd00,,,,,,,Ólafur Páll Torfason,,https://www.linkedin.com/company/mojoflower/,https://twitter.com/home/Mojoflower,,
uils,SCF #17,uils,uils,Applications,https://communityfund.stellar.org/dashboard/submissions/recb7lLAeoG5poknB,Awarded,,Legacy Award v4.0 (90%),$141027.50,$141027.50,940827.82,7/28/2023,Legacy v4.0 Award,Double-sided wallet to empower mobility gig workers to store value against inflation,"Did you know that +25M of mobility gig workers do not have access to credit in Latam? We are enabling the traditional financial system to reach a hugely in-need underserved population through a unique and proprietary driving credit score that replaces outdated inefficient risk assessment mechanisms. We are the company behind the tech: we have a mobile app with a fiat wallet, a 100% automatic back-office platform and a behavioral scoring engine that can effectively capture the risk of the customer segment we are trying to serve.

In emerging markets, inflation forces users to find alternative ways of storing value. Argentina is one of the Latin American countries hit hardest by ever-increasing inflation. With an average annual inflation rate of 24% over the past 20 years in Argentina, the depreciation of the peso ranks as the most relevant issue for Argentines. To protect themselves from devaluation, people typically preserve their wealth by exchanging the Argentine peso for the US dollar. This process usually involves opening foreign bank accounts and holding onto the physical bills at home. This leaves them with no safe way to store or use their money.

We want to enhance our value proposal, adding a USDC alternative account to our existing fiat wallet. After the implementation of the blockchain-based wallet, the user will be able to receive a Stellar address automatically, right after his KYC has been accepted. If they want to buy (or sell) USDC, they will get the transaction quote automatically in real time. We will collect the corresponding amount from the user’s national currency virtual account and will send the corresponding USDC balance to their Stellar address in a few seconds. This new feature will provide our users a new saving strategy in countries where unstable economies push them to escape from their own currency because of its constant devaluation. This happens in Argentina, where we are already operating, and other Latin American countries.

We have participated in the Stellar Community Bootcamp where we had the chance to design, prototype and validate our ideas with real users. During the interviews, 8 real users of our wallet were invited to complete 2 different processes. First, the purchase of USDC using available funds in their fiat wallet. Second, to perform a cashout of USDC to a different account. Our users are not familiar with crypto so we did some research on that as well. From all the users interviewed, only 2 mentioned that they are able to save, but 7 said they would do it through our wallet… one of them wanted to do it NOW! A few learnings in the process: wording is important… withdraw and transfer may not be understood the same way; security during cashout… some users mentioned they wanted to schedule an “automatic” purchase once they collected their wages in the wallet; and some minor details but really useful to learn! 

Bootcamp workspace - https://drive.google.com/drive/folders/1C6S5GRQg7Hv76Bi3An5WSomV5fln9i6v",,,https://www.uils.la/,,https://youtu.be/wCssIRzCIYA,,,,,,,"Tomás Ignacio Costanzo, Gabriel Casas, Josefina Cafferata Leloir",,,www.twitter.com/somosuils,,
Emigro,SCF #17,Emigro,Emigro,Applications,https://communityfund.stellar.org/dashboard/submissions/recMpM56WpU1AMLd1,Awarded,,Legacy Award v4.0 (90%),$46400.00,$46400.00,310546.6,7/27/2023,Legacy v4.0 Award,"The traveler's digital wallet. Cross-border, card-less, instant payments for the tourism industry. ""International Pix""","Although I believe that there'll be multiple use-cases for Soroban on Emigro, it doesn't make sense for me to start there. I have to get payments working and get a client base on the core product, before working on more sophisticated features. The first product is a smart-phone based cross-border payments app for retail tourism-related payments, whereas the tourist and vendor will both need the app at this time, but with the goal of moving towards app to account payments. A tourist will pre-load their (recoverable) self-custody Emigro wallet through an anchor in their home country, via the Emigro interface. They're then able to travel to other countries and make cash-less and card-less retail payments where Emigro is accepted for their trip expenses via QR codes containing the vendor info plus the payment details for them to scan. With path payments the currency exchange, at the best rate, and payment is completed at the point-of-sale, therefore a traveler doesn't need to exchange and hold currencies other than their own. But, the ability to exchange and hold other currencies does exist if the traveler/vendor wants to hedge against fluctuating exchange rates. The payment will settle instantly with the vendor in the currency that they chose and can be instantly off-ramped to their bank account by their home country anchor via the Emigro interface. Although fiat-backed stablecoins are used, (with XLM as an intermediary), the traveler/vendor doesn't need any knowledge of crypto, and all of the confusing web3 UX is stripped away. The traveler/vendor doesn't have to deal with gas or wallet address strings, their wallet key is their email address or another code they choose, mimicking how Pix operates in Brazil and that others will follow. This is a safe way for people to get started with and use digital currency, and can be a gateway for future products. There are problems solved for both the travelers and the vendors; Travelers - no need to exchange and carry cash for regular tourism payments, saving money and also being less susceptible to losing money via theft - no need to carry credit cards for regular tourism payments as they're not universally accepted, the vendor may add a fee to accept the card, and international cards are not available to all (plus their high fees) - transparency regarding the fees involved in making payments, with the small on/off ramp fees, but free transfers (payments) and no markup on the exchange rate Vendors - no need to hold large amounts cash from tourism clients, with more safety and no in-person bank deposits required - no need to have a point-of-sale credit card machine if you are a very small vendor, or you can save money by accepting fewer credit cards as a larger vendor. there is also more access to consumers as only smart phones are required for the payments - instant settlement with no charge-backs, and the ability to immediately send the money to a bank account or another user (free)",,,https://emigro.co,https://github.com/EmigroBR,https://www.loom.com/share/1f929397e299445eb29581448018236c,,,,,,,Blake William Sieders,,https://www.linkedin.com/company/emigro-inc/,https://twitter.com/emigrobr,,
Oinc,SCF #17,Oinc - Automated Personal Finance,Oinc,Applications,https://communityfund.stellar.org/dashboard/submissions/recHtAS5rmHwAFWhn,Awarded,,Legacy Award v4.0 (90%),$105000.00,$105000.00,791381.9,8/4/2023,Legacy v4.0 Award,"Oinc is a seamless personal finance solution for LATAM young adults, conveniently enabling better financial decision making","We know the potential of crypto/blockchain in creating a more efficient and freer financial environment. And LATAM, a region with so many financial barriers, can benefit greatly from it. But these tools are still only used by a small segment of our population. We want to bring the benefits of Stellar Network to the average person, especially to the 150M+ young adults in LATAM who already are users of mobile banking solutions. There's a lot of momentum in Latam (specially Brazil) for truly building user focused financial solutions, due to Open Banking. Now, the user owns his data and can share it in order to pursue better options for himself, not only on what his own bank/broker can offer. We already operate in Brazil, serving 9000+ active users. Oinc is similar to the US-based service called Acorns. Especially built for Brazilians our system automates the process of saving and investing. We want to create our new infrastructure using Stellar, to be able to expand it to more countries across LATAM. Our first priority is to launch a digital wallet to support Stellar assets such as USDC and digital BRL. Wallets will represent the individual accounts and support cash-in/cash-out, pay and exchange money. Second, we need to enable the users to invest/exchange asset-backed tokens and stablecoins of stronger currencies. Third, we need to connect the Open Banking infrastructure with the new solution. And after having a broader understanding of what can be best for the user, enjoy possibilities to use Stellar infra on lending, international wire, and more. In that way, using crypto/blockchain potential to provide a simple and efficient financial solution for young adults, while also making it easier for them to hold assets in a stronger currency and move money. Thus, providing financial freedom and wealth growth. Prototype of our solution here (made during SCF Bootcamp): https://www.figma.com/proto/IJb82qMJYOl1d9YjirR74T/Stellar-Camp---Oinc---Prototype?page-id=0%3A1&node-id=64-7055&viewport=-535%2C697%2C0.31&scaling=contain&starting-point-node-id=64%3A7055 For detailed tech specs (process maps on integrations, prototype, infrastructure guidelines,...): https://useoinc.notion.site/Oinc-Stellar-Tech-Specs-20e4748620a647a3b7189e424d7f8544?pvs=4",,,https://www.useoinc.com.br/,,https://youtu.be/edlldd9kgrw,,,,,,,Gabriel Almeida Duarte,,https://www.linkedin.com/company/useoinc,,,
Decaf Pay,SCF #17,Decaf Pay,Decaf Pay,Applications,https://communityfund.stellar.org/dashboard/submissions/recp4q5jA9dXq7to6,Awarded,,Legacy Award v4.0 (90%),$150000.00,$150000.00,1106683.03,8/3/2023,Legacy v4.0 Award,The cheapest and fastest way to send money internationally,"International payments and initially focus on the US to Mexico channel. This will use our MoneyGram integration and mass payments functionality like the Stellar Development Aid Program. Soroban - smart contracts for recurring USDC payments. Things like daily/monthly payments recurring payments from Decaf Pay. Sep24 - we have built this integration with MoneyGram, we were the first wallet outside of Lobster and Vibrant, and the use is growing rapidly. We will leverage this to integrate with other on/off ramps (anchors) such as AIRTM, Kado finance, possibly VISA, Circle and other anchors in the future. SEP 7 - we will help develop Stellar Pay with Jee and the SDF team. We are the main Point of Sales used within the Solana Pay ecosystem and have a wealth of insights around payments UX and want to build this for MoneyGram to utilize at their retail stores. We also want to use QR code payments to help users top up balances with the Decaf Pay product for easier sending of money. SEP 10/24 - we have previously built this functionality which will allow us to integrate into savings/yield functionality like Ultra Stellar, or Franklin Templeton yield/investment products. We are still researching and looking for the appropriate, safe, yield/investment options.",,,https://dev.decafpay.com/,,https://www.youtube.com/watch?v=xq2h6WCzQak,,,,,,,"Rick Martin, Rick Martin , Fernanda",,https://www.linkedin.com/company/decafpay,,,
Lobstr,SCF #17,Ultra Stellar / Soroban Integration,Lobstr,Applications,https://communityfund.stellar.org/dashboard/submissions/recWR4fbwZYJ72i34,Awarded,,Legacy Award v4.0 (90%),$144000.00,$144000.00,1069290.13,7/26/2023,Legacy v4.0 Award,"Ultra Stellar seeks to enrich LOBSTR and StellarX by integrating Soroban smart contracts, enhancing user interaction and utility.","With the support of the Stellar Community Fund (SCF), Ultra Stellar plans to substantially advance our two key products, LOBSTR and StellarX, by integrating Soroban smart contracts. Soroban's innovative smart contract system offers a valuable opportunity to enrich the functionalities and user experience of both platforms. For LOBSTR, we aim to incorporate smart contract functionality. This integration will allow our over one million users to seamlessly interact with smart contracts directly within the wallet interface. Users will be able to manage assets and engage with products built upon smart contracts by others, thereby broadening the wallet's utility and streamlining the user experience. Similarly, we plan to introduce Soroban smart contracts into StellarX. This will enable users to interact with and manage assets and services that utilize smart contracts, expanding StellarX's functionality. Our goal is to make interaction with smart contracts as accessible and user-friendly as possible. By doing so, we anticipate stimulating broader adoption and innovative uses of smart contracts within the Stellar ecosystem. Moreover, we are committed to working in tandem with the wider Stellar community. We aim to integrate the advantages of smart contracts and adopt products created by other developers into LOBSTR and StellarX. We believe that combining different elements from across the community can spur innovation and enable us to deliver superior services for Stellar. In summary, through the support of the SCF, we are eager to transform LOBSTR and StellarX into powerful platforms for managing and interacting with smart contract-based assets and services.",,,https://lobstr.co/,https://github.com/Lobstrco,https://www.youtube.com/watch?v=rjoVdQRWT2g,,,,,,,"Dima, Gleb Pitsevich",,,https://twitter.com/ultrastellar,,
Basement,SCF #17,Basement,Basement,Infrastructure & Services,,Awarded (10%),,Legacy Award v4.0 (10%),$12130.00,$12130.00,86162.8,8/3/2023,Legacy v4.0 Award,"Basement gives developers performant and easy access to onchain data in as little as a few lines of code, using SQL and GraphQL.","Basement aims to help kickstart a developer community for Stellar Soroban, using our fast and easy-to-use SQL and GraphQL APIs. Available within Basement’s free tier, for a testnet and its mainnet once ready. Indexing can be an expensive and time-consuming task. We assume crypto startups spend on average at least one FTE in engineering costs for their data pipelines. This data is essential to build business logic and interfaces for protocols. Basement reduces this to as little as a few lines of code, saving engineering teams tons of time. This time can now be dedicated to work on product features instead.

An indexer extracts and transforms historical and real-time data from a blockchain and converts that to a format or a set of APIs more suitable for developing applications. Indexers are crucial because execution layer nodes are optimized for write performance, resulting in slow response times when reading large sets of data. Basement connects this data to warehouses such as Postgres and Parquet, which are more suited for reading data on a large scale.

There are three different indexers we're building here:
- Tip of the chain: To keep data real-time, we'll leverage the getLedgerEntries and getEvents RPC methods to extract new data and store that in our data warehouses used by the SQL/GraphQL API.
- Archival: To verify state and backfill historical data, we'll build a service that parses history_archive files from Tier 1 validators. This data will then be transformed to our custom schemas and loaded into our data warehouses. Developers can then query these through SQL and GraphQL APIs in a performant way, without having to sift through these files themselves.
- Custom primitives: Some events, such as TokenTransfers, are stored in a different table, with indices on common fields. Because these events are commonly queried, we want to make sure developers can query them without having to parse these themselves.

With SQL, developers can query transactions, events, and decoded data. With the click of a button, these queries can be turned into production-grade RESTful endpoints. SQL is well-suited for advanced analytics of on-chain interactions. Our customers on other chains use this to measure usage of their protocol, build graphs, and classify potential users based on activity. The entities that will be available through SQL are Transactions, Events, TokenTransfers, and TokenContracts. These entities can be queried through a PostgreSQL-flavored query language, using our SQL IDE available on basement.dev.

All entities in SQL will be available in GraphQL as well. GraphQL is better suited for quick data access directly in a builder's app or interface and is easy to use through our JavaScript SDK. GraphQL also offers other quality-of-life improvements, such as batch querying contract state such as Balances and Name Services, automatically decoding XDRs when available, and paginated data for easy integration into any interface.",,,https://basement.dev,,https://www.loom.com/share/722a10598eb34fefbc93ad34b15f3d50,,,,,,,Nick Vernij,,https://www.linkedin.com/company/82955478/,twitter.com/basementapp_xyz,discord.gg/rr5R7UYvGC,
stellarpro.dev,SCF #17,Soroban-VSCode Extension,stellarpro.dev,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recpomNZXKFtufheP,Awarded,,Legacy Award v4.0 (90%),$39880.00,$39880.00,264059.85,7/27/2023,Legacy v4.0 Award,Develop a Visual Studio Code extension that provides Stellar/Soroban developers a unified tooling user experience and workflow.,"The Problem

Developer productivity relies on having great tools and that includes an industry-grade IDE. In addition to a great IDE, you also probably rely on a multitude of other tools to get your job done. Currently, Stellar/Soroban development requires you to switch between quite a few tools: the Stellar Laboratory, the Soroban-CLI, RunKit, Postman, curl, and your own scripts and code snippets, among others, to leverage core features of the platform. While there are online solutions (specialized IDEs) helping users to streamline workflow, and they are great for your first steps, once you deep-dive for a while you outgrow them very quickly or find their features limiting. Also, having to “learn” how they work, only puts more cognitive load when you are already on a steep learning curve for Stellar/Soroban.

The Solution

Why re-invent the wheel? Let’s Stellar/Soroban-ize a tool already used by millions: Visual Studio Code.

The roadmap ahead

Our extension will provide easy access from within Visual Studio Code to built-in Soroban platform services and features, such as: Calling RPC/API endpoints, such as getLedgerEntries, getTransaction, and sendTransaction. Translate XDR to/from UTF-8. Create and Send Transactions (local and on-chain) in an easier manner. Manage Identities such as Accounts and Contracts. Manage Networks and Server connections. View and record Events, with filtering support. Download contract code, so bindings/interfaces can be extracted. ... among others.

The roadmap even further ahead

Visual Studio Code also runs in a web browser: www.vscode.dev, and while not all extensions can be added and used in that environment (there are certain restrictions), it certainly does potentially allow to have a fully-featured, completely web-based Visual Studio Code user experience (no local installs and cloud-based development flow). The current problem (which can be solved by using remote development and/or Codespaces, but both of these solutions are cost-prohibitive), is related to usage of the Rust toolchain currently required for Soroban development. Once this general problem is solved, our solution could be deployed to Visual Studio Code on the web, making it the #1 developer choice for building projects, which unfortunately can result in downgrading of other Stellar/Soroban-specialized online IDEs currently out there (or make them more of a user choice or preference).

A note on global audience

There are no distribution restrictions on Visual Studio Code extensions, so our potential market is every developer wanting a better experience when building Stellar/Soroban projects. However, we do want to point out that we plan to launch v.1 with i10n support, and we will support both English (default) and Spanish.",,,http://www.sorobanide.com,,www.sorobanide.com/notreleasedyet,,,,,,,Matias Wald,,,,,
